yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;1;1;2;0;1.2;4;1.2;0;NA;3;NA;1.6;NA;NA;58;0;2.5;NA;NA;0.2
1961;1;2;2.8;11.2;18.4;11.2;5.4;14;NA;27;NA;13;NA;NA;36;3.3;6.4;NA;NA;4.2
1961;1;3;0;0.2;0;0;0;0;NA;0;NA;0;NA;NA;2;0;0;NA;NA;0
1961;1;4;6;6.2;2.4;44;5.4;6;NA;20.2;NA;2.2;NA;NA;91;11.9;5;NA;NA;11.2
1961;1;5;0;0.2;0.2;5;0;0;NA;0.1;NA;0;NA;NA;2;0;0;NA;NA;0.6
1961;1;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;7;4;NA;3.6;10;0;7.8;NA;5.2;NA;0;NA;NA;7;0;9;NA;NA;5.8
1961;1;8;4.6;0.8;3.8;7;3.2;0;NA;6.2;NA;2.8;NA;NA;6;4.4;0;NA;NA;4.8
1961;1;9;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0.2
1961;1;10;0;0;0;0;0;0;NA;4.3;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;11;2;0.6;4;14;0;1;NA;3.1;NA;0.6;NA;NA;45;6.2;1.9;NA;NA;5.4
1961;1;12;6.4;4.8;13;22;4.4;8;NA;17;NA;7.8;NA;NA;16;4.8;10.5;NA;NA;11.8
1961;1;13;18;11.2;16.4;18;10.8;7;NA;12.3;NA;7.6;NA;NA;8;12.4;20.6;NA;NA;15.8
1961;1;14;0;0;0.2;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;15;2;0;8.4;15;5.6;0;NA;5.3;NA;0.4;NA;NA;13;2;5.2;NA;NA;2
1961;1;16;6.4;1.4;0;0;1;3;NA;3.7;NA;2.2;NA;NA;16;7.2;7.6;NA;NA;5.8
1961;1;17;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;19;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;1;20;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;21;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;22;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;1;23;1.2;1.2;1.4;1.2;0;NA;NA;4.3;NA;0;NA;NA;6;0.8;1.6;NA;NA;0.2
1961;1;24;0;0;0.6;1.2;0.4;0;NA;0;NA;0;NA;NA;4;0;0;NA;NA;0.8
1961;1;25;0;0;0;0;0;0;NA;0;NA;0.6;NA;NA;0;0;0;NA;NA;0
1961;1;26;9;2.8;9.2;10;0.6;5;NA;14;NA;2;NA;NA;11;9.2;12.6;NA;NA;9.8
