yy;mm;dd;5813_2;5817_1;5820;5832;5833;5849_2;5863;5868_1;5870;5880_1;5882_1;5884;5887;5888;5889;5893;5919;5924;5926;5933;5934;5937_2;5941_1;6933;7136;7144;7203_1;14233_1;14437_1
1961;1;1;NA;NA;0;10;NA;0.4;7.8;22.8;1.6;13.6;8.2;0.5;8;3;NA;NA;17;17.6;2.5;19.2;2;10.8;28.2;10.8;0;118.8;13.2;11.8;5.6
1961;1;2;NA;NA;5.8;30;NA;14.6;1;34.2;9.4;11.4;12.6;2.5;2.8;7;2.8;NA;12.5;16.6;5.4;15.6;0.4;18.8;20.6;22.6;0;0;18;1.8;2.4
1961;1;3;NA;NA;6.4;23;NA;4.2;12.6;3.6;6.6;0.4;2.8;0.9;2.6;4.4;2.6;NA;5;6;8.8;3.4;3.8;4.6;1.6;2;14.2;0;13;0;10.4
1961;1;4;NA;NA;28.8;90;NA;38.6;62;117.4;15.2;22.2;88.2;16.8;39.2;62.2;28.2;NA;71.5;95.6;24.6;48.8;27.8;100.4;84.6;109;29.6;0;143.2;125;97.8
1961;1;5;NA;NA;0;10;NA;0.2;0;0.4;0;0.8;0;0;0;0.6;0;NA;1;8.6;0;2.4;0;1.4;13.6;3.8;0;0;0;0;0.6
1961;1;6;NA;NA;0;0;NA;0;0;0.8;0;0;0.2;0;0;0.2;0;NA;0;0;0;0.2;0;0;0.6;0;0;0;0;0;0.2
1961;1;7;NA;NA;4.2;40;NA;0.6;0.2;3.8;5;25;29;0;0.2;3;1.4;NA;39;29.6;5;22.6;0;31;14.8;22.6;0.4;0;35;15;0.4
1961;1;8;NA;NA;0;0;NA;0.6;0;3.4;0;0;0;0;0;2;0;NA;0;0;0;0;0;2.8;11.4;0;0;0;0;0;0
1961;1;9;NA;NA;0;0;NA;0;0;11;0;0;0;0;0;0;0;NA;0;0.2;0;0;0;0;0.8;0;0;0;0;0;0.2
1961;1;10;NA;NA;0;0;NA;0;0;4.2;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1.8
1961;1;11;NA;NA;48.4;63;NA;26.4;5;61.4;61;40.2;31.2;27.1;1.2;5.4;29.8;NA;57.5;63;58.8;38;24.6;96.4;63.6;59.6;45;0;90;19;15.6
1961;1;12;NA;NA;5.8;37;NA;10;22;22;5.2;7.4;35;0.9;10.6;37.4;1.6;NA;24;22;7.8;25;1.8;25.6;16.6;17.4;1.2;0;23.2;8.4;2.6
1961;1;13;NA;NA;1;5;NA;1.8;1;0.6;3.8;0.6;0.8;1.5;1.4;0;1.4;NA;2.2;3;1.6;1.2;0.6;7.2;0.6;0.2;0;0;0;0;7.6
1961;1;14;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;9
1961;1;15;NA;NA;0;0;NA;0;0.8;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;8;0;1.6
1961;1;16;NA;NA;0;0;NA;0;1.2;0;0;0;0;0;0.6;0;0;NA;0;0;0;0;0;0;0;0.2;0;0;0;0;0
1961;1;17;NA;NA;0;0;NA;1;0;0;0;0;0.2;0;0;0;0;NA;0;0;0.4;0;0;0;0;0;0;0;0;0;0.6
1961;1;18;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1.4
1961;1;19;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0.4
1961;1;20;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;21;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;22;NA;NA;0;0;NA;0;0;0;0;0;0;0.1;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;23;NA;NA;0.4;6;NA;0.2;0.6;1.6;0;0.6;1;0.8;0.8;0.6;1.2;NA;0;1.2;0;0.8;0;0.4;1.6;0.6;0;0;4.2;0;0.6
1961;1;24;NA;NA;0.2;9;NA;0;0.2;0.8;0;8.4;0;0;0;0.2;0;NA;4;0;1.4;2.2;0;3.2;4.8;0.6;0.8;0;0;0;23.2
1961;1;25;NA;NA;3.8;5;NA;1.2;0;4.2;25.4;1.8;2;0.2;0;0.2;0.4;NA;15.3;4;40.2;4.2;0;5.2;7.2;2.4;0;0;0;0;3.4
1961;1;26;NA;NA;0;3;NA;0;0.8;1.8;0;9;1.4;0.4;0.2;0;0;NA;10;6.2;1.2;11;0;4.6;8.4;0.6;0;0;2;6;7.8
1961;1;27;NA;NA;0.2;0;NA;0;0.2;0;0;2.6;0;0;1.4;0;0.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;28;NA;NA;0;0;NA;0;0;0;0;0.4;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;29;NA;NA;0.2;0;NA;1.2;0;0.2;3;0.8;0.2;0;0;0;0;NA;2.5;2.2;3.9;1.2;0;3;3.6;1.2;0.2;0;0;0;0
1961;1;30;NA;NA;0;0;NA;0;0;0;0;1.6;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;1.4
1961;1;31;NA;NA;0;7;NA;0;0;14.2;0;1.6;1;0;0.2;1.8;0;NA;5;8.2;0;3;0;7.2;11.6;3.2;0;0;10.6;0;1.6
1961;2;1;NA;NA;0;33;NA;0.2;2;28.8;0;3.4;1.8;0;1.6;1.2;0;NA;47.5;19.6;0;27;0;42.4;40.6;18.4;0;4.2;18;12;2.6
1961;2;2;NA;NA;0;0;NA;0;0;0.2;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0
1961;2;3;NA;NA;0;0;NA;0.2;0;0;0;0.2;0;0;0;0;0;NA;0;0;0;0.2;0;0;0;0;0;0;0;0;0
1961;2;4;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;5;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;6;NA;NA;0;0;NA;0.2;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;7;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;2.2;0;0.2;0.4;0;0;0;0;0;0
1961;2;8;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;9;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;10;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;11;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;12;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;13;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;14;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;15;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;16;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;17;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;18;NA;NA;0;0;NA;0;0;0;0;0;0.2;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;19;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;20;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;21;NA;NA;0;0;NA;0;0;11.8;0;0;8.4;0;0;0;0;NA;1;0;0;0;0;0;0;6.8;0;7.2;14.6;7;8.8
1961;2;22;NA;NA;0.2;10;NA;0.4;3.6;7;0;4.2;10.8;0;4.6;1.2;0;NA;7;7.6;0;7;0.2;14;17.2;7.4;1;10;18;6;9.8
1961;2;23;NA;NA;0;5;NA;9.6;1.4;6.2;0;5.8;3.4;0;6.8;6.4;0;NA;4;8.2;0;2.4;0.4;7.2;6.6;4.2;0;0;8;14;0.2
1961;2;24;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0.2;0;NA;0;0;0;0;0;0.2;0;0;0;0;0;0;0
1961;2;25;NA;NA;0;0;NA;0.2;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;26;NA;NA;0;0;NA;0;0;0;0;0.2;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;27;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;2;28;NA;NA;0;0;NA;0;5.4;0.8;0;0;0;0;4.6;1.8;0;NA;0;0;0;0;0;0;0;0.4;0;0;5;0;0
1961;3;1;NA;NA;2;40;NA;0;17.8;47.4;2.2;4;19;0;26;39.6;0.8;NA;46;24.8;0;45.4;0.6;43.8;39;28.6;1.8;38.6;0;18;10
1961;3;2;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0.2;0;0;0;0;0
1961;3;3;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;4;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;5;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;6;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;7;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;8;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;9;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;10;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;3;11;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
