yy;mm;dd;5675_1;5677_2;5678_2;5679;5680_2;5682_1;5683_1;5696;5698;5699_1;5700_1;5705;5706_2;5707;5708;5709;5711;5713;5716_1;5717_1;5720_1;5729;5734;5738;5744;5755;5759;5764;5774;5775;5798;5703;5704;5712;5718_1;5726;5728;5735;5745;5752;5756;5771;5784;5792;5797;5799_3;5800;9604
1961;1;1;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;1;1.5;NA;0;0;0.2;3.9;NA;0;2;0;0.8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
1961;1;2;11;11;NA;NA;6.6;4.9;NA;NA;NA;NA;13;16.8;NA;NA;NA;NA;NA;NA;11;8.1;NA;10.3;0;8.6;9.4;NA;16.8;11.4;8.4;4.4;14.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.4
1961;1;3;0;0;NA;NA;0;0;NA;NA;NA;NA;2;0;NA;NA;NA;NA;NA;NA;1;0.2;NA;0;13.2;0.6;1.1;NA;1.8;0;0.2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;4;36.2;29.9;NA;NA;46.6;98.7;NA;NA;NA;NA;53;63.9;NA;NA;NA;NA;NA;NA;10;7.6;NA;46.3;17.2;12.6;52.2;NA;10;4.8;24.6;54.4;35.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8
1961;1;5;0;0;NA;NA;1.2;9.1;NA;NA;NA;NA;0.5;0;NA;NA;NA;NA;NA;NA;5.1;3.2;NA;0;0;0;0.6;NA;0.2;0.8;4;13.6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2
1961;1;6;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0.2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;7;0.5;0.5;NA;NA;1.4;1.7;NA;NA;NA;NA;7;7.6;NA;NA;NA;NA;NA;NA;2.6;2.6;NA;6.3;7.2;6;7.3;NA;1.6;2;3.6;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4
1961;1;8;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;2;0;0;0.8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;9;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0.2;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;10;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0.2;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;11;3.4;5.1;NA;NA;6.8;14.1;NA;NA;NA;NA;26;29.8;NA;NA;NA;NA;NA;NA;9.6;8.5;NA;39.1;3.8;8.8;28.6;NA;6;4.6;6.4;13.2;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.6
1961;1;12;9;7;NA;NA;23;41.3;NA;NA;NA;NA;28;7.6;NA;NA;NA;NA;NA;NA;21.5;18.9;NA;28.1;6.4;17;29.8;NA;71;21.4;29.4;25;9.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.8
1961;1;13;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0.2;2;NA;0;0;1.8;0;NA;2;3.6;0.4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.8
1961;1;14;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0.2;0.2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;15;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0.2;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;16;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
1961;1;17;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;18;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;19;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;20;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;21;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0.2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;22;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;23;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;24;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0.2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6
1961;1;25;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0.2;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2
1961;1;26;0;0;NA;NA;0;0;NA;NA;NA;NA;3;2.6;NA;NA;NA;NA;NA;NA;2.8;4.6;NA;0;0.7;3;4.1;NA;0.2;0.8;0.6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6
1961;1;27;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;28;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0.2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;29;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;30;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;1;31;0;0;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1961;2;1;4.5;3.8;NA;NA;5.8;5.3;NA;NA;NA;NA;5.2;5.3;NA;NA;NA;NA;NA;NA;4.9;2.9;NA;4.3;8.2;7.8;4.4;NA;8.4;3.4;5.6;3.2;6.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
