yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;1;1;13.8;0;0.1;2.8;1.6;0.2;1;NA;6.6;1.6;7.7;26.7;45.9;9;2;3;4.4;7.1;10.6;0.8;5;5.3;15.4;15.6;0;3.1;1.2;0;20.1;1.6;0.2;5.6;2.2;NA
1971;1;2;53.4;7.8;4.8;0.2;12.2;9.6;10.2;1.6;4.4;5.4;4.8;8;13.8;5.3;7.7;0.2;0.8;7.7;1.9;0;12;5.2;18.6;8.2;22;2;0.6;0;1.8;2;0;3.6;4.6;NA
1971;1;3;3.6;7.6;2.8;0;3.6;0;2;0;1.2;2;3.7;72.4;96;8.7;32.6;0.8;3.2;11.4;5;16.9;1;23.7;18.2;31.4;15.3;0;9.2;2.4;12.1;13.8;8.8;11.4;11.4;NA
1971;1;4;15.4;0.6;2.8;0.2;5.4;0;2;0;2.4;3;3.1;29;39;3.8;15.2;1.5;1.4;0;0;0.7;2;9;0.6;1;18;0;0;0;2.1;0;0;0.4;0.6;NA
1971;1;5;8.1;5.4;14.6;6.8;0.2;3;9.8;2.4;0.4;0.1;2.2;15.5;23.9;6.5;4;0.6;6;0;0;3;3;5.5;12.8;8;7.5;8.2;6.6;1;10.4;12.8;3.6;4.6;10.4;NA
1971;1;6;0;0.8;0;0.8;1.8;1.4;2.8;0;0.8;4.8;0.1;15;1.5;0;1;0;0;0;0;8.9;11.6;2;0;1.2;20;0;8.8;1.6;2.3;0;0.8;1;0;NA
1971;1;7;0;5.2;0.4;0;4;0;8;13.7;0.1;0.1;0;0.3;0.4;0;0;0;0;0;0;0;0;0;4.8;6;5;10;3;0.2;8;0;18.4;5;5.8;NA
1971;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;2.4;7;0;0;0;2.1;0;0;1.8;2.2;NA
1971;1;9;0;1.8;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;11.5;0;0;0.6;0;0;0;0.8;0.2;NA
1971;1;10;0;0;0.2;0;0;0;0;0;0;0;0.1;0;0;0;0.4;0;0;0;0;1.3;0;0;0;0;0;0;0;0.2;0;0.2;0;0.2;0;NA
