id;SiteName;regione;Longitude;Latitude;Elevation;regione2
abruzzo_2159;L'aquila;abruzzo;13.42861111;42.33416667;618;Abruzzo
abruzzo_2168;Aterno A Fagnano;abruzzo;13.56722222;42.24805556;620;Abruzzo
abruzzo_2171;Tasso A Scanno;abruzzo;13.87194444;41.9175;1054;Abruzzo
abruzzo_2177;Aterno Sagittario A Allogg.idr;abruzzo;13.82972222;42.15638889;248;Abruzzo
abruzzo_2187;Pescara Ad Alanno;abruzzo;14.01305556;42.27083333;95;Abruzzo
abruzzo_2214;Sangro A Villa S.maria;abruzzo;14.35638889;41.955;287;Abruzzo
abruzzo_2274;Barisciano;abruzzo;13.57388889;42.32361111;932;Abruzzo
abruzzo_2;Teramo;abruzzo;13.71722222;42.65472222;264;Abruzzo
abruzzo_404;Alanno;abruzzo;13.98527778;42.29555556;150;Abruzzo
abruzzo_606;Chieti;abruzzo;14.18305556;42.37694444;244;Abruzzo
abruzzo_1112;Catignano;abruzzo;13.94527778;42.34611111;323;Abruzzo
abruzzo_1540;Pescara;abruzzo;14.2425;42.44972222;2;Abruzzo
abruzzo_1938;Ortona;abruzzo;14.405;42.34972222;51;Abruzzo
abruzzo_1940;Lanciano;abruzzo;14.38444444;42.22583333;273;Abruzzo
abruzzo_1951;Roccaraso;abruzzo;14.08361111;41.85194444;1280;Abruzzo
abruzzo_1958;Montenerodomo;abruzzo;14.24861111;41.99;1004;Abruzzo
abruzzo_1961;Bomba;abruzzo;14.36833333;42.03444444;563;Abruzzo
abruzzo_1975;Montazzoli;abruzzo;14.42805556;41.94222222;792;Abruzzo
abruzzo_1980;Cupello;abruzzo;14.65;42.08222222;265;Abruzzo
abruzzo_1982;Vasto;abruzzo;14.69833333;42.09972222;187;Abruzzo
abruzzo_1999;Campotosto;abruzzo;13.40638889;42.53611111;1392;Abruzzo
abruzzo_2029;Pietracamela;abruzzo;13.55472222;42.52361111;1126;Abruzzo
abruzzo_2088;Civitella Del Tronto;abruzzo;13.66777778;42.77333333;516;Abruzzo
abruzzo_2094;Arsita;abruzzo;13.79805556;42.5;510;Abruzzo
abruzzo_2135;Montereale;abruzzo;13.24138889;42.52611111;825;Abruzzo
abruzzo_2137;Giulianova;abruzzo;13.95277778;42.74805556;55;Abruzzo
abruzzo_2213;Goriano Sicoli;abruzzo;13.79888889;42.08222222;904;Abruzzo
abruzzo_2247;Anversa  (Ex Cent.le Anversa);abruzzo;13.80277778;41.99444444;538;Abruzzo
abruzzo_2256;Santo Stefano;abruzzo;13.60277778;42.6475;734;Abruzzo
abruzzo_2258;Sulmona;abruzzo;13.91444444;42.06861111;365;Abruzzo
abruzzo_2263;Villa S.lucia;abruzzo;13.77944444;42.33361111;1119;Abruzzo
abruzzo_2273;Collepietro;abruzzo;13.78;42.22111111;845;Abruzzo
abruzzo_2278;Pescosansonesco;abruzzo;13.88444444;42.25361111;464;Abruzzo
abruzzo_2280;Caramanico Meteo;abruzzo;14.01916667;42.15083333;785;Abruzzo
abruzzo_2281;Salle;abruzzo;13.96083333;42.17861111;430;Abruzzo
basilicata_6;Albano Di Lucania;basilicata;16.0378;40.5894;794;Basilicata
basilicata_20;Tursi;basilicata;16.4711;40.2517;257;Basilicata
basilicata_25;Roccanova;basilicata;16.2067;40.2128;610;Basilicata
basilicata_42;Matera;basilicata;16.6017;40.6694;389;Basilicata
basilicata_44;Irsina;basilicata;16.2461;40.7417;453;Basilicata
basilicata_48;Potenza;basilicata;15.8108;40.6328;669;Basilicata
basilicata_2;Torre Accio;basilicata;16.6539;40.3925;21;Basilicata
basilicata_39;Tramutola;basilicata;15.7867;40.2986;875;Basilicata
basilicata_194;San_mauro_forte;basilicata;16.2483157797;40.4840139215;565;Basilicata
basilicata_195;San_nicola_d__avigliano;basilicata;15.802501;40.733056;859;Basilicata
bolzano_77;Vipiteno;bolzano;11.42939034;46.89782475;946;Bolzano
bolzano_5;Monte Maria;bolzano;10.5212676;46.70568911;1256;Bolzano
bolzano_18;Silandro;bolzano;10.78026981;46.62375473;684;Bolzano
bolzano_23;Diga Di Gioveretto Osservatore;bolzano;10.72507183;46.50906285;1896;Bolzano
bolzano_28;Vernago;bolzano;10.84927965;46.73565796;1823;Bolzano
bolzano_30;Naturno;bolzano;10.99117805;46.64766321;561;Bolzano
bolzano_39;Plata;bolzano;11.17808117;46.82249293;1118;Bolzano
bolzano_49;Merano - Quarazze;bolzano;11.13656021;46.68805798;369;Bolzano
bolzano_58;Diga Di Zoccolo-S.valburga;bolzano;10.99013577;46.54187189;1282;Bolzano
bolzano_79;Diga Di Vizze Osservatore;bolzano;11.5246721;46.92499219;1415;Bolzano
bolzano_83;Ridanna;bolzano;11.30677415;46.90908292;1337;Bolzano
bolzano_94;Dobbiaco;bolzano;12.21915906;46.72997843;1219;Bolzano
bolzano_102;S.maddalena In Casies;bolzano;12.24271916;46.83526049;1456;Bolzano
bolzano_110;Predoi;bolzano;12.09912721;47.03658867;1515;Bolzano
bolzano_135;La Villa In Badia Osservatore;bolzano;11.90707588;46.5836304;1398;Bolzano
