yy;anom
1971;-3.1381935972148955
1972;3.1282561265894597
1973;-4.579370067803131
1974;-3.403036616371462
1975;-0.40510700777511116
1976;8.544892992224888
1977;-1.4301070077751112
1978;6.307796231341766
1979;9.05138597493151
1980;2.842348619485643
1981;-1.6111170700825874
1982;0.7237450625860588
1983;-4.705107007775111
1984;9.043445917286913
1985;-6.2132207493797535
1986;-0.8779196573071345
1987;-0.4706389555527486
1988;-5.8748520861499784
1989;-3.2937470077125246
1990;-4.235536382428008
1991;1.6203155754065717
1992;2.0738218723674073
1993;-3.3051070077751112
1994;-5.194635080324735
1995;-1.0290474805019454
1996;6.725459891494374
1997;-1.6120755635300286
1998;-0.8941268455813106
1999;3.947227294377079
2000;-3.1956514553513276
2001;-4.123602398643233
2002;0.7961915892040413
2003;-5.780396852686125
2004;3.8511722997178346
2005;1.8844502632206808
2006;-9.2199056745369
2007;-9.09098400397589
2008;2.2815029675374503
2009;1.2050444400444402
2010;8.975042149465455
2011;-9.047489211454728
2012;-3.093330681664015
2013;7.126404870140503
2014;6.891051334786967
2015;-3.0066759379403054
2016;1.853294315632954
2017;-6.503424429247089
2018;4.850616755707752
2019;3.9756057510413227
2020;-0.26815559197138134
