yy;anom
1971;-79.03888761191963
1972;-31.037766992009153
1973;40.20228900572743
1974;-59.686039041134265
1975;15.139466715552073
1976;72.66696669055207
1977;-35.93053345944793
1978;47.259923113173066
1979;111.06248734394231
1980;43.21010798398194
1981;-9.907627844326937
1982;-11.935882299361655
1983;-50.345533609447926
1984;4.3368996205101356
1985;-71.02655038394757
1986;-14.18562310533992
1987;78.57449130689692
1988;-112.90027113597394
1989;0.9886746059918484
1990;11.011714178151607
1991;52.264352629650354
1992;65.75565012813033
1993;-55.023033059447926
1994;-36.85278981221795
1995;-50.6880922331334
1996;46.7871863392605
1997;21.46763992003442
1998;-44.3221039004784
1999;43.76274518010306
2000;-0.6354050717920201
2001;-84.76091221398978
2002;-20.888782045836948
2003;-29.105641483753157
2004;-22.423110984049153
2005;42.131591647612176
2006;-26.278629756885568
2007;-161.20487264086904
2008;43.21793907324311
2009;30.447665210242175
2010;85.56196897606199
2011;-49.053525461107945
2012;45.8156343507777
2013;81.57028155414903
2014;127.14440830696289
2015;-18.53873245811648
2016;21.94012529800213
2017;3.89301721629005
2018;14.690247373092054
2019;102.86014797640539
2020;21.418321028053906
