yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;NA;NA;NA;NA;NA;NA;0.17857142857142705;-4.73076923076923;-5.714285714285715;-3.068965517241381;0.03333333333333499;-6.931034482758619;11.185185185185187;1.6666666666666679;-8.233333333333334;-5.862068965517242;-8.517241379310345;-6;-5.074074074074073;0.7916666666666679;-7.083333333333336;-12.482758620689655;-1.5600000000000023;-4.275862068965516;-4.413793103448278;-4.692307692307693;-3.629629629629626;-0.25;-1.642857142857146;3.928571428571427;-0.724137931034484;7.689655172413794;-2;-6.551724137931032;-2;-3.7142857142857153;-5.793103448275861;-4.759999999999998;-9.066666666666666;-3.3999999999999986
1972;NA;NA;NA;NA;NA;NA;-1.821428571428573;-2.73076923076923;-0.7142857142857153;5.931034482758619;8.033333333333335;NA;7.185185185185187;-1.3333333333333321;-2.2333333333333343;3.137931034482758;9.482758620689655;7;-2.0740740740740726;0.7916666666666679;-2.0833333333333357;-1.4827586206896548;14.439999999999998;2.724137931034484;6.586206896551722;6.307692307692307;1.3703703703703738;1.75;2.357142857142854;-1.071428571428573;7.275862068965516;1.6896551724137936;4;11.448275862068968;0;9.285714285714285;1.2068965517241388;7.240000000000002;-1.0666666666666664;0.6000000000000014
1973;NA;NA;NA;NA;NA;NA;-7.821428571428573;-3.73076923076923;-9.714285714285715;-10.06896551724138;-1.966666666666665;-14.93103448275862;-11.814814814814813;-5.333333333333332;-1.2333333333333343;9.137931034482758;8.482758620689655;-2;0.9259259259259274;4.791666666666668;2.9166666666666643;2.517241379310345;3.4399999999999977;-9.275862068965516;-10.413793103448278;-0.6923076923076934;-12.629629629629626;-6.25;-11.642857142857146;-8.071428571428573;-3.724137931034484;0.6896551724137936;-2;-9.551724137931032;-4;-13.714285714285715;-4.793103448275861;-6.759999999999998;-6.066666666666666;-10.399999999999999
1974;-1.03846153846154;-0.6538461538461533;-0.7037037037037024;-8.296296296296298;1.1481481481481488;-5.96153846153846;-7.821428571428573;-5.73076923076923;-1.7142857142857153;-1.0689655172413808;6.033333333333335;-4.931034482758619;NA;3.666666666666668;-4.233333333333334;-2.862068965517242;-5.517241379310345;-5;NA;-1.2083333333333321;-5.083333333333336;-6.482758620689655;-6.560000000000002;-6.275862068965516;-0.4137931034482776;-2.6923076923076934;-10.629629629629626;-5.25;-2.642857142857146;-11.071428571428573;-7.724137931034484;-5.310344827586206;5;-0.551724137931032;-3;-6.714285714285715;5.206896551724139;-2.759999999999998;0.9333333333333336;-11.399999999999999
1975;-4.03846153846154;-3.6538461538461533;4.296296296296298;-1.2962962962962976;0.1481481481481488;-11.96153846153846;9.178571428571427;-3.73076923076923;-8.714285714285715;-0.06896551724138078;1.033333333333335;-4.931034482758619;-1.814814814814813;4.666666666666668;-8.233333333333334;-5.862068965517242;-7.517241379310345;-5;-7.074074074074073;-1.2083333333333321;-5.083333333333336;0.5172413793103452;-1.5600000000000023;-3.275862068965516;-2.4137931034482776;-1.6923076923076934;-6.629629629629626;6.75;8.357142857142854;7.928571428571427;-0.724137931034484;-4.310344827586206;19;5.448275862068968;6;-2.7142857142857153;6.206896551724139;11.240000000000002;-3.0666666666666664;-0.3999999999999986
1976;4.96153846153846;12.346153846153847;10.296296296296298;9.703703703703702;17.14814814814815;7.03846153846154;3.178571428571427;6.26923076923077;4.285714285714285;7.931034482758619;7.033333333333335;18.06896551724138;6.185185185185187;10.666666666666668;13.766666666666666;9.137931034482758;16.482758620689655;-1;7.925925925925927;10.791666666666668;8.916666666666664;8.517241379310345;17.439999999999998;9.724137931034484;12.586206896551722;18.307692307692307;5.370370370370374;9.75;10.357142857142854;5.928571428571427;10.275862068965516;11.689655172413794;-7;5.448275862068968;8;13.285714285714285;1.2068965517241388;2.240000000000002;0.9333333333333336;6.600000000000001
1977;-0.0384615384615401;-12.653846153846153;-0.7037037037037024;-4.296296296296298;-12.851851851851851;-3.96153846153846;0.17857142857142705;0.26923076923077005;-10.714285714285715;-10.06896551724138;1.033333333333335;-7.931034482758619;-3.814814814814813;-4.333333333333332;-7.233333333333334;-2.862068965517242;-0.5172413793103452;-6;-0.07407407407407263;-0.20833333333333215;0.9166666666666643;-0.4827586206896548;9.439999999999998;-0.275862068965516;-1.4137931034482776;2.3076923076923066;-5.629629629629626;-5.25;9.357142857142854;4.928571428571427;1.275862068965516;-2.3103448275862064;12;8.448275862068968;-11;6.285714285714285;-1.7931034482758612;9.240000000000002;-3.0666666666666664;-3.3999999999999986
1978;8.96153846153846;14.346153846153847;3.2962962962962976;2.7037037037037024;1.1481481481481488;0.0384615384615401;-0.821428571428573;5.26923076923077;2.2857142857142847;-0.06896551724138078;12.033333333333335;4.068965517241381;3.185185185185187;4.666666666666668;11.766666666666666;12.137931034482758;10.482758620689655;-5;3.9259259259259274;NA;14.916666666666664;6.517241379310345;21.439999999999998;8.724137931034484;5.586206896551722;14.307692307692307;8.370370370370374;0.75;9.357142857142854;4.928571428571427;9.275862068965516;7.689655172413794;12;13.448275862068968;2;10.285714285714285;2.206896551724139;1.240000000000002;-3.0666666666666664;1.6000000000000014
1979;3.96153846153846;12.346153846153847;-0.7037037037037024;2.7037037037037024;-1.8518518518518512;6.03846153846154;9.178571428571427;6.26923076923077;8.285714285714285;14.93103448275862;16.033333333333335;2.068965517241381;15.185185185185187;11.666666666666668;7.766666666666666;6.137931034482758;2.482758620689655;3;7.925925925925927;NA;15.916666666666664;-0.4827586206896548;0.4399999999999977;-0.275862068965516;12.586206896551722;19.307692307692307;6.370370370370374;15.75;11.357142857142854;9.928571428571427;11.275862068965516;5.689655172413794;15;25.448275862068968;9;12.285714285714285;10.206896551724139;15.240000000000002;8.933333333333334;15.600000000000001
1980;4.96153846153846;0.3461538461538467;9.296296296296298;-0.2962962962962976;2.148148148148149;-3.96153846153846;-6.821428571428573;NA;3.2857142857142847;2.931034482758619;5.033333333333335;-8.93103448275862;7.185185185185187;1.6666666666666679;5.766666666666666;12.137931034482758;13.482758620689655;5;7.925925925925927;4.791666666666668;2.9166666666666643;NA;-12.560000000000002;3.724137931034484;0.5862068965517224;-2.6923076923076934;5.370370370370374;7.75;10.357142857142854;0.928571428571427;6.275862068965516;6.689655172413794;4;-3.551724137931032;2;3.2857142857142847;3.206896551724139;-0.759999999999998;0.9333333333333336;3.6000000000000014
