yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;NA;NA;NA;NA;NA;NA;-21.582142857142856;-87.71923076923078;-144.49285714285716;-89.75862068965516;-32.129999999999995;47.924137931034494;-86.13333333333333;-68.05925925925925;-162.1033327;-122.86206741379311;-174.38276000000002;-171.25517372413793;-24.018521481481486;-78.95833379166666;-178.591664375;20.813792999999976;-73.47599903999998;-136.3344827586207;-66.8551724137931;-136.0346153846154;-244.59629629629632;-122.225;-67.37857142857143;169.61428571428573;-70.83103448275861;-115.95862068965516;68.26428571428573;-307.1896551724138;-3.857142857142861;-34.92500000000001;-46.413793103448285;16.024;-91.41999999999999;-50.420000000000016
1972;NA;NA;NA;NA;NA;NA;-145.98214285714283;-100.91923076923078;27.607142857142833;56.04137931034484;194.97;NA;-147.53333333333333;-132.85925925925926;-133.1033327;-60.46206541379311;-6.982758000000018;111.74482627586207;11.181481518518524;8.241667208333325;93.00833762500002;-136.986206;-120.47600403999999;-167.7344827586207;-5.25517241379309;-42.834615384615404;-164.59629629629632;-87.02499999999999;-12.978571428571428;-61.3857142857143;157.56896551724137;25.64137931034483;-177.3357142857143;-78.58965517241381;-54.457142857142856;74.375;20.68620689655171;187.02399999999994;-142.82;-12.02000000000001
1973;NA;NA;NA;NA;NA;NA;-48.782142857142844;-108.51923076923077;-7.2928571428571445;-6.558620689655157;116.66999999999999;-120.47586206896551;-87.53333333333333;18.040740740740716;132.89666729999996;162.3379335862069;22.117244;251.94483727586208;96.78147751851853;110.24166420833333;155.608330625;224.213793;92.42399796000001;65.26551724137931;-106.4551724137931;140.66538461538462;66.80370370370366;72.57499999999999;12.821428571428584;25.81428571428569;-72.4310344827586;57.84137931034485;13.664285714285711;341.4103448275862;-0.65714285714284415;-158.625;-41.31379310344829;-64.976;86.38;-76.02000000000001
1974;24.07307876923076;8.138459423076938;196.48148537037036;113.12962785185186;110.06666666666669;48.81153134615383;-228.78214285714284;15.480769230769226;-117.29285714285716;37.84137931034485;-101.72999999999999;19.124137931034483;NA;-43.65925925925927;-174.9033367;-35.162071413793115;20.517241999999982;-80.85517672413793;NA;11.441670208333335;102.40833062500002;-65.186204;47.123998959999994;-144.7344827586207;7.344827586206918;-72.63461538461539;-199.1962962962963;-115.02499999999999;-49.77857142857144;-133.3857142857143;-175.3310344827586;-146.95862068965516;-254.8357142857143;-545.3896551724138;-90.45714285714286;9.574999999999989;141.4862068965517;-130.176;-137.82;-137.82000000000002
1975;90.37307776923075;94.13845942307697;54.88147937037036;-81.67037114814816;-50.533332333333334;-50.58845765384615;0.6178571428571615;-15.519230769230774;-16.892857142857167;31.441379310344843;27.07000000000002;-91.47586206896551;14.066666666666663;15.940740740740722;-104.30333370000001;-56.06207241379312;-102.88276;-30.45516972413793;-28.81852048148147;20.241664208333333;-63.99167037500001;7.213792999999981;-26.07599804;-59.734482758620686;-11.455172413793093;98.86538461538461;49.403703703703684;-68.42499999999998;149.42142857142855;90.61428571428573;-7.331034482758611;49.241379310344826;145.0642857142857;92.61034482758623;276.9428571428571;-0.42500000000001137;93.08620689655172;22.024;136.38;-87.42000000000002
1976;-13.626922230769239;42.93845842307692;261.88148437037034;-17.470370148148163;223.26666166666664;-94.48846065384615;140.21785714285716;60.680769230769215;-86.49285714285716;206.44137931034484;4.070000000000022;106.12413793103451;56.26666666666668;219.14074074074074;45.49667029999998;19.0379295862069;386.917234;35.14482327586205;268.9814855185185;197.84166620833335;396.008333625;-10.786208000000016;212.72400096;-34.734482758620686;63.744827586206924;-8.134615384615387;-115.39629629629633;32.97500000000002;35.821428571428584;35.014285714285705;25.368965517241378;27.241379310344826;-22.535714285714278;-36.789655172413745;250.94285714285712;93.97500000000002;-89.91379310344828;-63.77600000000001;42.380000000000024;10.179999999999978
1977;12.67307676923076;32.93846342307691;-68.71851562962964;-73.17037114814816;-143.53333233333333;-44.58846065384617;-106.78214285714284;-132.91923076923078;-94.09285714285716;-23.15862068965515;82.66999999999999;-87.47586206896551;73.46666666666667;-105.25925925925928;-47.10333270000001;-45.9620704137931;-17.482763000000006;-7.455172724137924;-5.01851648148147;-15.758337791666662;-134.59166937499998;-99.18621200000001;-26.376005039999995;-126.8344827586207;-53.05517241379309;-85.9346153846154;-244.39629629629633;-171.825;8.621428571428538;-175.9857142857143;-34.0310344827586;-77.95862068965516;12.064285714285688;386.61034482758623;-149.45714285714286;88.57499999999999;10.086206896551715;436.02399999999994;-99.82;-83.02000000000001
1978;63.67307676923076;-48.861536576923044;171.88147737037036;11.529629851851837;201.26666666666668;-97.58846065384616;-51.18214285714285;167.28076923076924;31.107142857142833;130.14137931034483;10.27000000000001;20.724137931034477;111.06666666666669;35.14074074074074;222.79667129999999;129.83792458620687;189.61723599999996;72.14482827586207;37.98148351851853;NA;84.408335625;17.813792999999976;345.62399495999995;79.06551724137933;79.94482758620691;144.3653846153846;-61.99629629629632;118.67500000000001;50.22142857142856;-76.7857142857143;-30.5310344827586;91.24137931034483;431.26428571428573;-188.78965517241375;-88.25714285714285;-23.224999999999994;-93.51379310344828;-313.776;-67.61999999999999;-63.82000000000002
1979;36.17307676923076;186.53845642307695;156.88148337037035;-52.47037014814816;114.46666766666667;60.011535346153835;47.417857142857144;-28.519230769230774;192.70714285714286;131.84137931034482;190.27;-16.6758620689655;242.16666666666666;303.94074074074075;-2.503339699999998;291.3379335862069;111.31724599999998;-69.45517472413793;42.68147951851853;NA;15.008338625000022;257.613795;-84.57600203999999;-84.33448275862071;26.1448275862069;-79.03461538461539;-69.39629629629633;99.47500000000002;213.22142857142856;21.014285714285705;213.6689655172414;121.44137931034481;570.8642857142858;534.0103448275863;42.342857142857156;228.97500000000002;137.88620689655173;263.824;-111.22;76.38
1980;54.67307676923076;-78.46153857692306;34.88147937037036;-36.67037114814815;129.26666666666668;-45.388459653846155;-143.18214285714285;NA;-105.29285714285714;151.44137931034484;10.27000000000001;99.72413793103448;-119.53333333333333;143.34074074074073;180.0966663;62.237930586206886;47.617245;-46.65517272413794;41.98147651851852;16.641666208333334;180.008328625;NA;-214.57600204;159.06551724137933;158.34482758620692;223.3653846153846;4.6037037037036725;114.875;-58.57857142857145;78.81428571428572;6.568965517241395;-27.75862068965516;-113.53571428571428;308.4103448275862;209.54285714285714;273.375;-39.71379310344828;-114.37600000000003;-90.82;187.38
