yy;mm;dd;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;1;1;NA;NA;NA;NA;NA;NA;1.8;4.2;2.8;12.9;10.8;37.4;10;16.2;14.2;8.5;9.3;2.2;1;3.6;0;3.8;10;16.1;6.2;10;12.4;8.8;12.4;12;20;19.8;25;24.6;0.6;17.9;6.4;0.4;9.8;4
1971;1;2;NA;NA;NA;NA;NA;NA;0.2;3.2;8.8;30;25.4;19.6;30;32.8;5;5.7;17;10.4;20.6;12.2;30;15.8;12.4;12.5;8.4;1;10.8;7.9;5.6;3.6;5;10;0;3.8;5;0;5.4;7;1.2;4
1971;1;3;NA;NA;NA;NA;NA;NA;0;0;0;6.8;0.8;2.2;10;15;12.4;16.4;10.2;15;10;3;5;8.2;6.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0
1971;1;4;NA;NA;NA;NA;NA;NA;0.4;0;2.2;3.3;1;4;4.2;3.2;0;0;0;0;0;0;0;0.4;0;0;0.4;0;0;0;0;0;0;0;1.5;2.2;0;0;0;0.6;0;0
1971;1;5;NA;NA;NA;NA;NA;NA;0;0;4;24.4;13;7.8;20;11;7.4;11.6;10;18;8;10;15;7.2;14;1;1.2;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;6;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;7;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;8;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;9;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;10;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0
1971;1;11;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0.6;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;12;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;13;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;1;14;NA;NA;NA;NA;NA;NA;0;0.4;0.2;0;0;1.4;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
