yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;NA;NA;NA;NA;NA;NA;29;22;15;23;31;27;41;31;25;23;23;19;22;22;32;10;39;32;19;33;40;33;38;34;35;33;50;53;18;32;15;39;16;24
1972;NA;NA;NA;NA;NA;NA;27;24;20;32;39;NA;37;28;31;32;41;32;25;22;37;21;55;39;30;44;45;35;42;29;43;27;56;71;20;45;22;51;24;28
1973;NA;NA;NA;NA;NA;NA;21;23;11;16;29;19;18;24;32;38;40;23;28;26;42;25;44;27;13;37;31;27;28;22;32;26;50;50;16;22;16;37;19;17
1974;21;34;22;16;28;26;21;21;19;25;37;29;NA;33;29;26;26;20;NA;20;34;16;34;30;23;35;33;28;37;19;28;20;57;59;17;29;26;41;26;16
1975;18;31;27;23;27;20;38;23;12;26;32;29;28;34;25;23;24;20;20;20;34;23;39;33;21;36;37;40;48;38;35;21;71;65;26;33;27;55;22;27
1976;27;47;33;34;44;39;32;33;25;34;38;52;36;40;47;38;48;24;35;32;48;31;58;46;36;56;49;43;50;36;46;37;45;65;28;49;22;46;26;34
1977;22;22;22;20;14;28;29;27;10;16;32;26;26;25;26;26;31;19;27;21;40;22;50;36;22;40;38;28;49;35;37;23;64;68;9;42;19;53;22;24
1978;31;49;26;27;28;32;28;32;23;26;43;38;33;34;45;41;42;20;31;NA;54;29;62;45;29;52;52;34;49;35;45;33;64;73;22;46;23;45;22;29
1979;26;47;22;27;25;38;38;33;29;41;47;36;45;41;41;35;34;28;35;NA;55;22;41;36;36;57;50;49;51;40;47;31;67;85;29;48;31;59;34;43
1980;27;35;32;24;29;28;22;NA;24;29;36;25;37;31;39;41;45;30;35;26;42;NA;28;40;24;35;49;41;50;31;42;32;56;56;22;39;24;43;26;31
1981;21;NA;22;17;21;34;24;NA;16;23;24;29;26;26;36;30;31;22;25;NA;40;24;37;33;24;43;52;38;38;37;38;28;35;52;17;38;12;34;27;31
1982;18;31;16;21;22;27;22;NA;21;26;27;23;31;30;39;38;47;34;28;NA;33;25;NA;38;27;42;46;33;41;26;37;19;56;71;32;37;26;NA;18;33
1983;19;33;20;27;44;35;23;17;18;21;29;24;26;24;28;19;26;15;30;9;41;11;31;30;15;35;41;30;32;22;27;21;42;48;20;29;21;27;21;28
1984;NA;46;23;18;30;NA;33;39;35;37;42;36;43;41;47;40;44;26;26;NA;45;25;NA;42;30;56;59;46;53;41;50;40;61;78;24;40;32;47;39;43
1985;17;33;22;18;19;26;20;15;24;20;22;24;30;25;34;23;27;NA;23;NA;37;16;NA;33;12;18;29;24;34;21;28;22;44;53;16;29;15;NA;20;20
1986;23;34;25;22;27;32;31;31;25;31;30;41;28;31;42;27;29;26;25;20;NA;19;37;43;23;31;42;32;34;25;35;18;45;55;23;24;17;NA;23;25
1987;21;33;19;25;25;27;23;27;25;29;30;35;32;20;37;34;37;25;26;21;30;24;NA;39;30;38;42;31;31;20;37;23;49;63;22;43;24;NA;19;29
1988;15;24;20;33;28;32;NA;NA;25;18;21;35;20;23;20;15;18;20;NA;20;NA;12;26;27;26;39;37;25;30;32;29;21;49;46;13;25;13;27;25;25
