yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;NA;NA;NA;NA;NA;NA;207.2;95.8;33.6;108.8;204.6;254.4;101.4;146.60000000000002;45.400002;66.400002;41.299999;0;158.39999699999998;73;87.800004;190.200001;178.10000300000002;116.2;65.6;81.9;36;85.6;183.4;380.6;150;31;502.6;322.2;145.6;222.7;113.5;411.8;90.4;132
1972;NA;NA;NA;NA;NA;NA;82.80000000000001;82.6;205.7;254.6;431.7;NA;40;81.8;74.400002;128.800004;208.700001;283;193.6;160.200001;359.400006;32.400002;131.099998;84.8;127.2;175.1;116;120.8;237.8;149.6;378.4;172.6;257;550.8;95;332;180.6;582.8;39;170.4
1973;NA;NA;NA;NA;NA;NA;180;75;170.8;192;353.4;86;100;232.7;340.400002;351.600003;237.800003;423.200011;279.199996;262.199998;421.999999;393.600001;344;317.8;26;358.6;347.4;280.4;263.6;236.79999999999998;148.4;204.8;448;970.8;148.8;99;118.6;330.8;268.2;106.4
1974;157.400002;251.599998;381.800004;288.599998;321.599999;234.59999299999998;0;199;60.8;236.4;135;225.6;NA;171;32.599998;154.099998;236.200001;90.399997;NA;163.400004;368.799999;104.200004;298.700001;107.80000000000001;139.8;145.3;81.4;92.8;201;77.6;45.5;0;179.5;84;59;267.2;301.4;265.6;44;44.6
1975;223.700001;337.599998;240.199998;93.799999;161;135.200004;229.4;168;161.2;230;263.8;115;201.6;230.6;103.200001;133.199997;112.799999;140.800004;153.599998;172.199998;202.39999799999998;176.600001;225.500004;192.8;121;316.8;330;139.4;400.2;301.6;213.5;196.2;579.4;722;426.4;257.2;253;417.8;318.2;95
1976;119.700001;286.399997;447.200003;158;434.79999399999997;91.30000100000001;369;244.2;91.6;405;240.8;312.6;243.8;433.8;253.000005;208.299999;602.599993;206.39999699999998;451.400004;349.8;662.400002;158.6;464.300003;217.8;196.20000000000002;209.8;165.2;240.8;286.6;246;246.2;174.2;411.8;592.6;400.4;351.6;70;332;224.20000000000002;192.6
1977;146;276.400002;116.600003;102.299999;68;141.200001;122;50.6;84;175.4;319.4;119;261;109.39999999999999;160.400002;143.299999;198.199996;163.800001;177.400002;136.199996;131.799999;70.199996;225.199997;125.7;79.4;132;36.2;36;259.4;35;186.8;69;446.4;1016;0;346.2;170;831.8;82;99.4
1978;197;194.60000200000002;357.199996;187;412.799999;88.200001;177.6;350.8;209.2;328.7;247;227.2;298.6;249.8;430.300006;319.099994;405.29999499999997;243.400002;220.400002;NA;350.800004;187.200001;597.1999969999999;331.6;212.4;362.3;218.6;326.5;301;134.2;190.3;238.2;865.6;440.6;61.2;234.4;66.4;82;114.2;118.6
1979;169.5;429.999995;342.200002;123;326;245.799997;276.2;155;370.8;330.4;427;189.8;429.7;518.6;204.999995;480.600003;327.000005;101.799999;225.099998;NA;281.400007;427.000003;167;168.2;158.6;138.9;211.2;307.3;464;232;434.5;268.4;1005.2;1163.4;191.8;486.6;297.8;659.6;70.6;258.8
1980;188;165;220.199998;138.799999;340.799999;140.400002;85.6;NA;72.80000000000001;350;247;306.2;68;358;387.600001;251.5;263.300004;124.60000099999999;224.399995;168.6;446.399997;NA;37;411.6;290.8;441.3;285.2;322.7;192.2;289.8;227.4;119.2;320.8;937.8;359;531;120.2;281.4;91;369.8
