yy;anom
1971;-1.560886795019937
1972;6.716705250452982
1973;-1.655945125486868
1974;-2.9535044742755474
1975;5.004602131249136
1976;4.689568991120715
1977;6.251669663221387
1978;3.7231561497078736
1979;6.279783619452403
1980;-2.4935805615202167
1981;-1.5258187947026423
1982;0.6155420363252875
1983;-6.507945721393997
1984;3.6640199369023416
1985;-2.860216380547597
1986;-1.7980542883230513
1987;2.830783549649248
1988;-5.169283562997848
1989;-3.7931647236275188
1990;-3.9935805615202167
1991;-1.7599942098704258
1992;1.7614558343382392
1993;-2.814756245445901
1994;0.14153144808317206
1995;-1.084698011815607
1996;5.078673204526199
1997;-5.677137699465286
1998;-3.9935805615202167
1999;0.3996448911424279
2000;1.956419438479783
2001;-2.5030313451489405
2002;9.306386800807667
2003;-6.540082627200222
2004;0.5314901668300682
2005;-3.3788874055205476
2006;-7.361942222931334
2007;-7.327291948904525
2008;7.738294764531218
2009;1.3520284703043324
2010;8.223422425836219
2011;-6.444131827924932
2012;0.9337253395874082
2013;6.503836786719192
2014;14.050207585379999
2015;-5.878518385560128
2016;0.6576829405653454
2017;-5.040708583276642
2018;0.8548963903274247
2019;6.001289797544587
2020;-1.651438444886721
