yy;anom
1971;-63.46333881068555
1972;-22.60651910316611
1973;-11.194332386374132
1974;-138.82805555945401
1975;28.369802752534152
1976;58.761189897741616
1977;29.743687043238765
1978;73.64767803422976
1979;120.17559001578512
1980;-33.5020997414144
1981;110.75287671544024
1982;3.2826995222256317
1983;-85.02322217367045
1984;-55.60502537580964
1985;-93.07254358745375
1986;-28.89486732983792
1987;65.05730391592007
1988;-60.69164109420957
1989;-29.06646366542646
1990;-24.954599741414395
1991;-32.79879372240557
1992;53.14523103444677
1993;-2.654419105350139
1994;4.93658409413582
1995;-52.711179221963484
1996;84.4892962900177
1997;-70.13893423395818
1998;-30.919599741414395
1999;21.5163235003639
2000;162.5854002585856
2001;-84.75108520486947
2002;182.91855647823374
2003;-52.62666640145066
2004;-6.25277312153273
2005;-8.845063569643075
2006;-100.5599379065849
2007;-108.53528663602192
2008;96.74302260917335
2009;112.3156498601671
2010;121.99663827715551
2011;-4.549520689693102
2012;38.03406634561807
2013;53.0918024630182
2014;214.9937203345824
2015;-78.96981677041114
2016;-28.941530870315134
2017;-33.991147875952784
2018;14.757867409530125
2019;129.7385896870619
2020;93.2701984777502
