yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;-95.17241379310344;-202.8642857142857;-58.577777777777754;-102.98799999999999;-34.20333333333332;-82.97000000000001;NA;-3.763333333333321;1.603333333333353;-12.514285714285705;-185.5103448275862;-91.16666666666669;-139.6206896551724;-157.34482758620692;-14.675862068965529;-149.07307692307694;-162.18;107.24333333333334;-102.41923076923075;71.65199999999999;-203.0433333333333;-78.37666666666667;-105.07857142857148;21.689999999999998;228.00000000000003;41.855999999999995;-135.38333333333335;-154.37037037037032;-114.73103448275862;-150.6344827586207;NA;-70.0310344827586;NA;-111.06296296296296;92.85333333333335;8.659999999999968;13.25333333333333;-70.36153846153846;NA;-83.37407407407409
1972;169.02758620689653;-33.264285714285705;40.22222222222223;-9.887999999999977;71.59666666666666;-133.27;-109.37586206896552;-90.06333333333332;-147.09666666666666;-20.814285714285703;265.4896551724138;200.4333333333333;-112.42068965517241;422.85517241379307;162.52413793103446;62.826923076923094;29.620000000000005;-88.9566666666667;-207.41923076923075;-94.34800000000001;-69.44333333333333;-1.0766666666666538;-146.67857142857144;52.79000000000002;-14.799999999999983;198.45600000000002;-85.78333333333336;-333.97037037037035;-59.33103448275861;-98.4344827586207;NA;-218.6310344827586;NA;-136.06296296296296;-118.14666666666668;-170.74;-49.74666666666667;-70.36153846153846;85.60833333333332;-0.37407407407408755
1973;133.42758620689656;-14.3642857142857;-145.87777777777777;235.712;170.79666666666665;-12.670000000000016;-28.97586206896551;-67.26333333333332;-70.79666666666665;-6.6142857142857;15.68965517241378;183.83333333333334;60.1793103448276;386.65517241379314;136.7241379310345;90.72692307692307;141.82;-330.5566666666667;-149.61923076923077;-7.34800000000007;110.05666666666667;-30.77666666666667;-188.57857142857148;139.39;5;-82.74400000000003;-231.78333333333336;-167.37037037037032;-7.531034482758628;-87.23448275862069;8.771428571428544;-57.931034482758605;NA;-174.56296296296296;-57.54666666666668;-150.74;-68.74666666666667;-78.16153846153847;NA;-26.374074074074088
1974;-41.77241379310345;NA;-78.17777777777778;-47.88799999999998;48.19666666666666;-105.27000000000001;-92.07586206896553;59.93666666666667;-183.29666666666665;-59.9142857142857;NA;-133.16666666666669;-33.820689655172416;-118.1448275862069;5.924137931034494;-497.87307692307695;-16.079999999999984;-311.5566666666667;-62.21923076923076;-239.44800000000004;-366.6433333333333;-175.97666666666666;-242.67857142857144;-235.61;-14.599999999999994;-255.744;-51.383333333333326;-230.77037037037036;-107.43103448275863;-31.83448275862068;-26.328571428571422;-179.23103448275862;NA;-114.56296296296296;-216.14666666666668;-496.54;-176.74666666666667;-104.16153846153847;NA;-64.77407407407408
1975;69.22758620689655;-82.6642857142857;-52.97777777777779;-149.488;4.996666666666641;-59.07000000000001;27.624137931034483;-105.66333333333333;40.20333333333332;-82.2142857142857;-127.7103448275862;73.63333333333333;-10.620689655172413;NA;71.72413793103448;-48.973076923076974;-114.88;396.9433333333334;198.58076923076925;210.652;158.75666666666666;8.223333333333358;256.2214285714286;111.79000000000002;7.400000000000006;-141.94400000000002;-94.58333333333337;35.02962962962965;90.16896551724139;11.16551724137932;305.1714285714286;174.66896551724142;170.2923076923077;21.637037037037032;-106.14666666666668;-100.13999999999999;-45.74666666666667;130.7384615384615;NA;-173.97407407407408
1976;162.12758620689655;204.53571428571428;NA;14.912000000000035;21.296666666666653;-63.07000000000001;41.424137931034466;-70.36333333333332;-55.096666666666664;113.28571428571428;-70.1103448275862;-69.36666666666667;104.57931034482758;39.8551724137931;-5.475862068965512;-161.77307692307693;-41.68000000000001;62.64333333333332;-17.819230769230785;238.452;-68.0433333333333;-36.576666666666654;NA;81.38999999999999;84.79999999999998;67.45600000000002;70.01666666666665;197.02962962962965;93.06896551724137;137.76551724137929;90.97142857142853;214.46896551724137;175.0923076923077;138.73703703703706;29.25333333333333;142.25999999999993;144.25333333333333;121.43846153846155;NA;42.425925925925924
1977;-97.77241379310345;1.335714285714289;-37.97777777777776;-75.68799999999999;-88.60333333333332;-21.57000000000002;21.424137931034466;5.436666666666667;-37.99666666666667;-59.014285714285705;-45.51034482758621;77.83333333333331;40.1793103448276;-5.544827586206907;86.72413793103448;NA;-53.97999999999999;-277.9566666666667;62.78076923076924;-61.148000000000025;-95.44333333333333;-185.97666666666666;1.7214285714285325;-60.20999999999998;-29.400000000000006;NA;NA;586.6296296296297;-83.03103448275863;55.96551724137933;65.97142857142853;-76.6310344827586;17.892307692307696;84.63703703703703;188.45333333333332;753.06;273.25333333333333;-74.76153846153846;70.60833333333335;174.82592592592593
1978;31.227586206896575;-202.8642857142857;76.82222222222222;-8.287999999999982;24.99666666666664;-86.77000000000001;55.62413793103448;-39.06333333333333;4.603333333333353;-12.1142857142857;62.68965517241378;-13.76666666666668;81.37931034482759;8.255172413793105;-66.87586206896552;NA;-30.680000000000007;812.9433333333334;487.9807692307693;208.25199999999995;-118.64333333333332;164.22333333333336;342.7214285714286;454.39000000000004;1.8000000000000114;-200.34400000000002;NA;53.22962962962964;87.06896551724137;40.16551724137932;-61.428571428571445;133.66896551724142;-37.30769230769232;8.937037037037044;84.65333333333331;-28.74000000000001;271.25333333333333;123.73846153846151;NA;11.225925925925907
1979;-97.37241379310345;-17.06428571428569;-33.17777777777778;270.612;180.6966666666667;246.42999999999998;355.02413793103443;135.8366666666667;211.30333333333334;146.6857142857143;29.289655172413802;103.03333333333333;126.1793103448276;172.2551724137931;295.92413793103447;NA;94.51999999999998;604.3433333333332;113.78076923076924;-55.948000000000036;9.956666666666706;-230.57666666666665;174.7214285714286;-54.70999999999998;-179.2;574.456;NA;-54.97037037037035;297.7689655172413;96.36551724137931;271.3714285714285;263.76896551724144;222.89230769230767;318.6370370370371;-186.34666666666666;-191.34000000000003;140.25333333333333;212.33846153846153;-88.69166666666666;87.62592592592594
1980;-120.57241379310345;63.6357142857143;-86.77777777777777;-56.88799999999999;43.596666666666664;1.6299999999999955;-76.17586206896553;-31.563333333333333;-22.49666666666667;19.08571428571429;-69.91034482758621;-13.966666666666669;-26.820689655172416;57.255172413793105;-16.275862068965523;-139.073076923077;269.12;282.0433333333333;-127.21923076923076;-158.348;63.75666666666666;-110.77666666666664;-233.47857142857146;-175.21;-25.19999999999999;4.255999999999972;-96.78333333333336;-233.17037037037034;-13.431034482758605;14.365517241379308;-54.62857142857143;79.96896551724137;35.09230769230771;-3.8629629629629676;-108.34666666666666;-265.14;74.25333333333333;-19.761538461538464;1.1083333333333485;-63.37407407407409
1981;111.72758620689658;-14.464285714285694;64.22222222222226;114.512;-29.00333333333333;97.72999999999999;188.12413793103445;106.13666666666666;48.80333333333334;41.58571428571429;249.0896551724138;-40.166666666666686;82.97931034482758;198.4551724137931;-47.07586206896552;236.3269230769231;-29.079999999999984;-16.056666666666615;NA;57.452;-15.843333333333305;96.22333333333336;-38.27857142857147;-85.11000000000001;-87.6;-184.94400000000002;50.01666666666665;580.6296296296296;179.1689655172414;97.5655172413793;250.97142857142853;-104.0310344827586;59.89230769230767;258.63703703703703;437.4533333333334;848.46;234.05333333333334;87.23846153846151;122.80833333333337;NA
1982;-76.17241379310344;155.23571428571432;87.02222222222221;137.312;2.7966666666666526;-92.27000000000001;-116.77586206896552;42.53666666666669;111.80333333333334;-43.514285714285705;109.88965517241377;97.83333333333334;21.379310344827587;0.45517241379309326;-70.67586206896551;97.52692307692303;388.91999999999996;-432.15666666666664;NA;-19.548000000000002;387.3566666666667;138.22333333333336;253.7214285714286;-124.00999999999999;-53.599999999999994;NA;NA;NA;11.9689655172414;-56.83448275862068;-242.22857142857146;140.5689655172414;38.69230769230768;-66.66296296296295;-246.94666666666666;-223.94;-185.14666666666668;NA;116.10833333333332;-173.97407407407408
1983;-113.77241379310345;-166.8642857142857;51.82222222222222;-68.88799999999999;-167.40333333333334;149.03;119.42413793103447;-33.46333333333331;-169.59666666666666;-80.7142857142857;-106.51034482758621;-58.56666666666669;-67.8206896551724;-114.94482758620691;-147.87586206896552;100.12692307692305;-126.67999999999999;-515.6566666666666;NA;-150.94800000000004;-244.44333333333333;-77.97666666666666;-18.478571428571456;-101.61000000000001;16.400000000000006;NA;-288.18333333333334;-82.17037037037034;-53.83103448275861;-114.23448275862069;88.77142857142854;-94.6310344827586;-63.107692307692304;79.83703703703702;-151.94666666666666;-256.94;-117.54666666666667;NA;-89.69166666666666;93.2259259259259
