yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;1;1;0;0.6;6.2;2.6;0;0;NA;2.9;0;0;28;15.2;8.4;20.4;16.8;18;8;19.3;13.8;20.2;19.4;25.8;22;17.2;0;2;0;0;0;1.6;NA;5.2;NA;0;0;0;0;2.2;NA;0
1971;1;2;2;0;0;23.8;21;0;NA;1.7;2.5;0;20;20;NA;10.8;4.4;7;28;6.8;1;6.6;0.5;1.5;0;8.4;0;0;0;0;0;1.8;NA;0;NA;0;0;0;0;0;NA;0
1971;1;3;0;0;0;0.1;4.8;0;NA;0;0;0;2;3.4;0;2.6;5;0;11;0.1;0;0.7;1.5;0.3;0;7.2;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;4;0;0;0;0.1;0;0;NA;0;0;0;0;0.2;NA;0;0;5;0;0.5;0;0;0;0;1;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;5;0.2;0;0;0.5;2.8;0;NA;0;0;0;4;3.8;0;2;0;3;8.3;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;6;0;0;0;0;0;0;NA;0;0;0;0;0;0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;5.8;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0.4
1971;1;7;0;0.2;0;0;0;0;NA;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;3.8;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;8;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;9;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;10;0;0.2;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;11;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;12;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;13;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;14;2;0;0;0.1;0.1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;1.2;0;0;0;NA;0
1971;1;15;0.4;2.8;2;2;0.3;2;NA;0;3.6;2.4;3.8;0.4;1.8;3.2;3;8;0;0.5;0.2;2.2;1.4;0.6;0;0.6;0.3;0;0;0.8;0;0.7;NA;0;NA;7;1.6;1.4;1;1.8;NA;2.4
1971;1;16;0;1.6;4;0.2;0.2;0;NA;0;0;0.6;9.6;9;13;6.2;9.6;22;1;0.5;1;4.8;3.6;1.8;1.8;1;1.3;7.2;0;0;0;0.2;NA;0;NA;0;0;0;0;0;NA;0
1971;1;17;0;0.2;0;2.8;1.8;0;NA;4.1;0;0;3.4;0.2;0.4;1.4;0.6;0;2.3;1;1;0.4;1.6;1;2;9;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0.4;NA;0
1971;1;18;0;0.2;0;0.8;0.3;0;NA;0;0;0;1.6;0.4;0.8;1;0.8;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;19;0;11;3;0;0;0;NA;0;1.6;0;0.2;0;0;0;0.2;3;2;0;1.2;1.4;0.4;0.4;1.4;0;0;12;3;0;0;0;NA;4.6;NA;5;0;0;0;0;NA;0.6
1971;1;20;1.4;21.4;11.8;1.4;4.5;1.5;NA;6.2;4.2;3.2;0.6;2.2;2.4;0.6;2.6;28;8;13.9;10.4;13.6;18.6;9.8;15;8.5;0;36.4;2.4;0;8;0.7;NA;16.7;NA;0;0;0;7.4;4.2;NA;14.6
1971;1;21;9.2;3.8;9.4;4.8;9.2;5.7;NA;2.1;7.6;5.7;13;12;13;10;8.8;42;17;34.2;26.2;34.8;35;40.4;50.8;18;20.6;19;10;0.4;5.4;10.2;NA;2.4;NA;3.4;0.8;0;0;7.6;NA;32
1971;1;22;3.6;6.6;19.4;2;1.8;4.3;NA;2.6;7;4.3;21.4;8.6;4.6;2.2;1.6;63.5;13;56.8;26.6;8.4;16.8;9.6;40.2;23.6;47.2;49.6;41.4;42.4;6.3;11.5;NA;18.3;NA;27.7;16;26;10;17;NA;5.8
1971;1;23;0;0.4;0.2;0.2;0;0;NA;9.2;8.2;5.4;0.4;0;0;0;0.4;10;13.7;20.5;3.6;2.2;12.4;1.8;7;25;0.1;0;0;0;2.3;1;NA;20.6;NA;0;0;0;0;5.2;NA;0
1971;1;24;1;13.8;9.2;8;9.2;2.5;NA;1.7;1.7;0.8;0;0;0;0;0.2;6;0;1.5;1.4;0;0.2;0.8;1.6;0;60.2;20;17.2;0.4;6.2;0;NA;0;NA;0;1.8;0;11;0.4;NA;34.8
