yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;34;24;35;13;14;14;NA;22;20;19;24;20;15;19;22;64;31;51;41;45;46;37;61;45;30;48;53;38;24;27;NA;42;NA;23;29;33;31;33;NA;27
1972;42;30;35;32;27;16;18;28;30;24;48;41;28;41;39;72;51;60;47;44;59;42;59;53;35;62;63;42;33;25;NA;50;NA;30;32;40;39;32;37;30
1973;28;28;24;21;26;21;22;24;27;21;35;27;17;35;28;58;41;50;36;30;39;32;45;43;26;43;41;38;35;29;39;43;NA;29;27;28;32;34;NA;13
1974;28;NA;29;13;19;13;16;31;31;19;NA;23;18;26;15;68;30;44;44;34;46;31;57;48;26;44;39;33;25;23;36;42;NA;23;25;28;32;19;NA;28
1975;32;46;36;16;17;23;28;29;33;30;33;32;25;NA;23;72;26;56;45;44;55;41;66;50;30;56;55;51;33;37;55;47;39;33;28;42;45;38;NA;27
1976;29;35;NA;25;30;20;31;23;30;22;49;31;24;31;20;76;57;51;44;47;53;41;NA;45;28;49;48;47;40;37;57;46;35;29;36;42;34;32;NA;22
1977;37;38;38;15;14;27;32;33;41;32;31;20;21;21;22;NA;30;60;45;41;51;39;59;51;42;NA;NA;56;43;43;61;54;45;48;36;45;38;42;31;33
1978;29;35;39;24;28;19;26;25;29;19;38;28;27;26;27;NA;47;60;46;45;62;41;60;55;26;53;NA;36;39;38;41;52;24;37;26;28;42;34;NA;30
1979;22;27;42;25;18;24;36;36;43;37;38;22;23;27;21;NA;42;66;52;48;59;48;71;55;31;63;NA;39;38;39;61;45;30;37;32;31;38;39;33;31
1980;21;29;31;28;27;16;16;27;24;21;39;26;23;29;20;64;47;52;41;34;49;42;51;44;22;34;37;25;28;23;35;37;20;25;22;24;31;26;28;18
1981;30;26;30;14;24;25;25;24;36;24;33;24;18;30;15;60;34;42;NA;37;45;36;40;38;18;39;36;42;36;29;38;43;32;36;35;35;39;22;24;NA
1982;22;35;29;29;22;26;27;28;36;23;32;25;15;23;20;66;44;41;NA;31;48;36;59;49;31;NA;NA;NA;33;35;53;43;32;34;24;28;32;NA;26;18
1983;19;17;23;17;7;26;15;23;34;18;27;16;18;16;14;49;28;43;NA;27;34;26;38;37;27;NA;39;38;23;20;43;34;25;24;31;30;31;NA;20;20
1984;37;32;38;NA;23;17;24;22;25;20;43;35;15;32;29;74;40;57;48;46;52;47;57;44;35;65;49;42;35;31;51;37;34;37;34;34;29;33;29;28
1985;14;34;29;13;17;19;28;33;32;23;31;24;16;15;12;53;37;48;31;32;47;35;51;53;22;NA;NA;28;32;24;47;37;31;39;26;22;26;30;24;19
1986;27;23;29;16;24;26;23;27;37;21;34;24;NA;25;NA;NA;39;46;30;32;33;30;44;43;23;NA;NA;35;32;27;47;41;28;33;39;35;38;NA;20;21
1987;18;24;37;24;25;17;24;33;39;24;44;30;23;30;19;58;40;61;49;42;55;46;64;55;NA;49;47;25;34;35;53;41;36;35;36;28;34;NA;29;23
1988;NA;NA;NA;NA;8;21;20;27;36;19;27;8;16;15;12;49;20;43;35;36;52;38;56;37;23;33;46;33;17;28;43;33;23;34;31;29;31;22;24;NA
1989;11;34;34;NA;18;17;25;29;34;22;30;16;17;18;12;54;32;46;37;31;49;38;53;40;18;37;41;NA;29;39;38;36;35;33;20;16;16;34;29;17
