yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;79.2;0;142.8;78.7;133.20000000000002;76.3;NA;173.5;215.8;132.1;86;86.6;0;33.2;133.2;348.8;80.7;833.5;196.8;358.8;163.60000000000002;203;351.4;352.5;451.6;420;205.6;271.6;127.9;56;NA;239.9;NA;97.5;384.6;505.2;246;172.8;NA;90.6
1972;343.4;169.6;241.6;171.8;239;26;83.4;87.2;67.1;123.8;537;378.2;27.2;613.4;310.4;560.7;272.5;637.3;91.8;192.8;297.2;280.3;309.8;383.6;208.8;576.6;255.2;92;183.3;108.19999999999999;NA;91.3;NA;72.5;173.6;325.8;183;172.8;263.9;173.6
1973;307.8;188.5;55.5;417.4;338.2;146.6;163.8;110;143.4;138;287.2;361.6;199.8;577.2;284.6;588.6;384.7;395.7;149.6;279.79999999999995;476.7;250.6;267.9;470.2;228.6;295.4;109.2;258.6;235.1;119.4;300.2;252;NA;34;234.2;345.8;164;165;NA;147.6
1974;132.6;NA;123.19999999999999;133.8;215.6;54;100.69999999999999;237.2;30.9;84.7;NA;44.6;105.8;72.4;153.8;0;226.8;414.7;237;47.7;0;105.4;213.8;95.2;209;122.4;289.6;195.2;135.2;174.8;265.1;130.7;NA;94;75.6;0;56;139;NA;109.2
1975;243.6;120.2;148.39999999999998;32.2;172.39999999999998;100.2;220.4;71.6;254.39999999999998;62.4;143.8;251.4;129;NA;219.6;448.9;128;1123.2;497.8;497.8;525.4;289.6;712.7;442.6;231;236.2;246.39999999999998;461;332.8;217.8;596.6;484.6;372.8;230.2;185.6;396.40000000000003;187;373.9;NA;0
1976;336.5;407.4;NA;196.60000000000002;188.7;96.2;234.2;106.9;159.1;257.9;201.4;108.4;244.2;230.4;142.4;336.1;201.2;788.9;281.4;525.6;298.6;244.8;NA;412.2;308.4;445.6;411;623;335.7;344.4;382.4;524.4;377.6;347.3;321;638.8;377;364.6;NA;216.4
1977;76.6;204.2;163.4;106;78.80000000000001;137.7;214.2;182.7;176.2;85.6;226;255.6;179.8;185;234.6;NA;188.9;448.29999999999995;362;226;271.2;95.4;458.2;270.6;194.2;NA;NA;1012.6;159.6;262.6;357.4;233.3;220.4;293.2;480.2;1249.6;506;168.4;248.9;348.8
1978;205.60000000000002;0;278.2;173.4;192.39999999999998;72.5;248.4;138.2;218.8;132.5;334.2;164;221;198.8;81;NA;212.2;1539.2;787.2;495.4;248;445.6;799.2;785.2;225.4;177.79999999999998;NA;479.2;329.7;246.8;230;443.6;165.2;217.5;376.4;467.8;504;366.9;NA;185.2
1979;77;185.8;168.2;452.3;348.1;405.7;547.8;313.1;425.5;291.3;300.8;280.8;265.8;362.8;443.8;NA;337.4;1330.6;413;231.2;376.6;50.8;631.2;276.1;44.4;952.6;NA;371;540.4;303;562.8;573.7;425.4;527.2;105.4;305.2;373;455.5;89.6;261.6
1980;53.8;266.5;114.6;124.8;211;160.9;116.6;145.7;191.7;163.7;201.6;163.8;112.8;247.8;131.6;358.79999999999995;512;1008.3;172;128.8;430.4;170.60000000000002;223;155.6;198.4;382.4;244.2;192.8;229.20000000000002;221;236.8;389.9;237.60000000000002;204.7;183.4;231.4;307;223.4;179.4;110.6
