yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;9.76;7.791954022988506;10.792134831460674;7.133870967741935;8.350000000000001;6.6930555555555555;NA;7.505102040816326;8.742857142857142;8.174683544303797;9.311904761904762;9.044444444444444;6.533333333333333;7.452173913043479;8.594285714285714;17.98061224489796;8.867391304347825;18.578813559322036;12.446938775510203;13.130392156862746;12.743119266055047;11.390816326530611;15.861788617886178;11.51779661016949;18.26875;15.68888888888889;15.129896907216494;15.260000000000002;8.167741935483871;7.980412371134021;NA;13.620930232558141;NA;8.741772151898735;9.492452830188679;14.853932584269662;9.593406593406593;9.414432989690722;NA;12.822222222222221
1972;10.727868852459016;9.071134020618556;10.135;9.516831683168316;8.743434343434343;5.414705882352941;5.968333333333334;7.5495238095238095;7.992241379310345;7.707446808510638;12.24793388429752;11.355555555555556;7.348387096774193;13.772277227722773;10.869565217391305;20.048;10.995121951219513;19.509090909090908;11.865765765765765;12.553571428571429;13.933870967741935;11.335087719298246;16.34285714285714;14.186440677966102;12.494444444444444;14.10135135135135;13.744444444444444;12.768333333333334;9.577319587628866;7.388695652173913;NA;12.752;NA;7.930476190476191;10.157407407407407;13.038596491228072;10.047916666666667;8.356666666666666;11.732222222222223;11.597402597402597
1973;11.92972972972973;10.133333333333333;8.611267605633802;11.402985074626866;11.002564102564103;7.8999999999999995;6.715;6.8133928571428575;8.84943820224719;9.206060606060607;12.193406593406593;12.677777777777777;9.221875;14.853164556962026;11.740298507462686;20.75777777777778;12.469072164948454;18.32952380952381;11.589887640449438;13.748051948051947;13.98936170212766;11.423809523809524;16.130927835051548;14.337499999999999;13.678947368421053;14.775555555555554;13.395;16.841666666666665;11.52;8.49255319148936;13.130681818181818;14.705128205128204;NA;10.71044776119403;10.043181818181818;15.094444444444443;12.016;8.916326530612244;NA;12.958139534883722
1974;9.409302325581395;NA;8.858823529411765;7.390000000000001;8.598749999999999;5.980851063829788;6.03469387755102;7.506481481481482;8.317346938775511;7.642465753424657;NA;7.511688311688311;7.309589041095891;8.180487804878048;8.208219178082192;15.140983606557377;8.779166666666667;16.025;12.487;9.743434343434343;12.189908256880734;10.00625;13.867796610169492;11.865137614678899;12.736619718309859;12.24313725490196;12.512;11.767741935483873;9.879999999999999;7.994318181818182;13.179518072289158;10.673636363636362;NA;9.055844155844156;8.228865979381444;11.067415730337078;9.214814814814815;7.811111111111111;NA;10.956164383561644
1975;11.081720430107525;11.616842105263157;10.322105263157894;7.087671232876712;8.763380281690141;8.5;9.08659793814433;7.6211009174311934;9.871028037383178;8.83529411764706;10.185263157894736;11.713157894736844;8.886486486486486;NA;10.046376811594204;18.94464285714286;9.76027397260274;21.204580152671756;14.35135135135135;13.872815533980583;15.705;12.235643564356435;18.13643410852713;12.176865671641792;11.267045454545455;14.558474576271188;16.66;15.908333333333333;10.554716981132074;8.90377358490566;15.280392156862744;13.059842519685038;11.6125;12.445121951219512;9.677884615384615;15.766000000000002;12.475609756097562;10.460550458715597;NA;11.593939393939394
1976;10.546236559139784;12.772093023255815;NA;8.572340425531914;9.262500000000001;7.861643835616438;8.943157894736842;7.574226804123712;9.728915662650602;8.782142857142858;11.29322033898305;8.731313131313131;9.709999999999999;10.038461538461538;8.737837837837839;20.925233644859812;9.913223140495868;19.317391304347826;13.509803921568627;15.849462365591398;16.309;13.106250000000001;NA;12.731132075471699;13.154666666666667;15.420754716981131;15.876767676767676;21.475641025641025;12.957608695652173;9.825454545454544;14.180357142857144;13.875213675213676;12.161956521739132;12.656976744186046;10.787628865979382;17.975280898876402;13.836111111111112;9.564423076923077;NA;10.953623188405796
1977;10.691578947368422;10.69611650485437;10.354081632653061;7.821428571428571;6.122093023255814;8.28989898989899;8.588288288288288;8.087610619469027;9.588034188034188;7.998058252427184;9.550980392156863;10.169444444444444;8.762162162162161;9.944117647058825;10.459701492537313;NA;10.285897435897436;16.66201550387597;13.076923076923077;12.280392156862744;13.117241379310345;11.51505376344086;17.853225806451615;11.574603174603176;13.906382978723405;NA;NA;22.598039215686274;11.11651376146789;9.699159663865547;13.229508196721312;11.81578947368421;11.421359223300971;11.515652173913043;11.771153846153847;25.12708333333333;12.975257731958761;9.516666666666667;11.45432098765432;13.794666666666666
1978;10.698863636363637;8.500943396226415;10.164150943396228;8.888235294117647;9.586746987951807;6.81860465116279;8.289247311827957;7.634615384615385;7.842735042735043;8.02987012987013;10.63859649122807;9.991764705882352;8.86279069767442;9.345833333333333;7.975268817204301;NA;11.05045045045045;26.117886178861788;15.102608695652174;12.361739130434781;15.954098360655738;12.235398230088494;18.616;14.69047619047619;11.52112676056338;11.59672131147541;NA;15.228;11.541836734693877;10.164356435643564;11.958415841584157;13.554545454545455;9.795180722891565;13.56547619047619;9.78;14.38279569892473;13.382978723404255;10.407339449541285;NA;12.36060606060606
1979;8.418181818181818;8.965217391304348;10.204901960784314;11.59156626506024;9.198780487804877;9.248387096774193;11.427184466019417;8.944;10.640944881889764;11.395348837209303;11.175238095238097;9.276923076923078;9.283720930232558;10.313333333333334;11.766666666666666;NA;10.647368421052631;22.119285714285713;12.467768595041322;11.16;14.384;10.393162393162394;19.457142857142856;13.117460317460317;11.858666666666666;18.993599999999997;NA;14.029411764705882;13.563461538461537;10.407272727272726;16.353571428571428;13.376666666666667;11.145833333333334;14.716091954022987;9.122772277227723;12.842553191489362;13.576923076923077;10.34705882352941;9.395876288659794;14.266153846153845
1980;8.84923076923077;11.728915662650602;8.965263157894737;9.01595744680851;9.146808510638298;8.041666666666666;7.25;8.049473684210527;8.97340425531915;9.347619047619046;10.65;8.96304347826087;8.0325;9.282692307692308;8.02;17.493023255813952;13.226086956521739;21.65;11.729523809523808;10.480851063829787;14.568421052631578;11.647916666666667;17.752830188679244;11.737719298245613;11.240322580645161;15.255555555555556;14.944303797468354;13.237142857142857;10.619230769230768;9.159090909090908;12.147126436781608;13.084042553191491;10.107692307692307;11.277142857142858;9.415584415584416;12.192207792207792;11.444186046511629;9.4;10.60625;8.86875
