yy;anom
1971;3.8739695404637935
1972;5.438347694213773
1973;1.9148762556090144
1974;0.9337446890108061
1975;-0.815536424400742
1976;9.318837856712669
1977;-4.924268115922555
1978;4.619303695221986
1979;4.319853145771437
1980;3.32775304197718
1981;-2.858863940231756
1982;2.522655590702817
1983;-2.3125050641142595
1984;3.8323949517915037
1985;-0.3072468393268098
1986;4.011902096843403
1987;-4.192830852098093
1988;-5.182563775092511
1989;-5.109402776676233
1990;-0.5413508676064895
1991;-2.1061000314860885
1992;-1.2381545494380741
1993;-3.047370964497401
1994;-5.240061798567545
1995;-3.002546136813378
1996;9.839234764050035
1997;-1.7378431733982616
1998;-5.1276009841947605
1999;-3.6800804323538885
2000;-4.603020115109606
2001;-7.404295383051541
2002;-1.1411090543890212
2003;2.7758002029453515
2004;3.5189510035178664
2005;-0.7813982618112528
2006;-2.2477686992126644
2007;-2.7426329435251846
2008;-1.5724664911134174
2009;4.520927319584096
2010;5.0898239930567515
2011;-2.1141225143029474
2012;-1.5176411870377384
2013;3.1051236765551122
2014;-2.9646007811112756
2015;1.7391636141636142
2016;-4.56254675964108
2017;-6.425993677459195
2018;7.626638367106348
2019;0.7774725519513012
2020;-4.578697588672958
