yy;anom
1971;8.813099615922603
1972;130.3787643376256
1973;11.538456257025224
1974;8.207454115433125
1975;-46.335222443113004
1976;144.05776467443934
1977;-66.06793244629341
1978;11.262050388725049
1979;-14.831750375727887
1980;36.19610800277517
1981;-44.531814501377724
1982;-1.8709084889789565
1983;-10.722222419640811
1984;3.3537512965129137
1985;-9.501974999484904
1986;-6.101974999484905
1987;-44.36979821997925
1988;-21.300888546213258
1989;-59.22908477880491
1990;-2.657201880744609
1991;7.221460326613248
1992;47.559963180341725
1993;-25.525747323855374
1994;-48.77760408778111
1995;-33.664629139060175
1996;151.10359757383648
1997;-10.29580213789886
1998;-52.772734511820296
1999;-45.097049085815726
2000;-16.858038664704516
2001;-95.49931314771709
2002;-44.63359396830744
2003;27.968780267432233
2004;51.779171943124005
2005;-28.361741308321903
2006;29.42072195802282
2007;-36.70624047478703
2008;-2.8074527168650114
2009;90.87644593079557
2010;41.540217181286145
2011;46.42474050443898
2012;4.38897077917521
2013;13.8243422152115
2014;-40.13410189227731
2015;95.75142504725262
2016;-5.653599753075414
2017;-28.523260435149595
2018;114.16893848198872
2019;-4.842324833324036
2020;-29.15285482115039
