yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1971;144.53793103448274;213.15000000000003;41.396666666666675;-95.23571428571427;-0.016000000000005343;-53.71379310344827;-100.76896551724138;-118.02413793103449;-56.75599999999999;266.6576923076923;-15.761538461538464;-95.42962962962963;-25.8551724137931;-95.79259259259263;12.882142857142867;63.69999999999999;189.40333333333334;51.370000000000005;-107.58571428571429;-47.512;-64.59666666666668;78.17066666666665;36.626666666666665;22.073333333333323;106.80433333333332;36.281000000000006;144.96896551724137;116.26551724137931;NA;-121.63966666666667;40.70666666666665;37.51333333333335;54.150000000000006;280.87;35.516666666666666;-37.93000000000001;268.12666666666667;-140.2392857142857;-101.66206896551725;9.25769230769231;-87.81379310344828;-96.95833333333334;-198.5758620689655;-63.93571428571428;-124.55714285714285;-3.480000000000018;NA
1972;166.13793103448276;674.35;48.596666666666664;NA;NA;-119.91379310344827;9.231034482758602;33.575862068965506;24.644000000000005;-80.2423076923077;-21.061538461538476;223.07037037037037;20.344827586206918;NA;262.88214285714287;59.39999999999998;596.4033333333333;74.37;-11.085714285714289;195.888;45.403333333333336;145.68066666666667;159.62666666666667;75.27333333333331;330.2943333333333;357.461;65.76896551724138;253.86551724137928;NA;112.26033333333334;645.7066666666667;67.11333333333334;354.85;555.37;66.81666666666665;-45.93000000000001;223.6266666666667;128.2607142857143;-151.26206896551724;75.9576923076923;115.58620689655173;34.04166666666666;-107.1758620689655;27.66428571428571;-146.35714285714286;-53.48000000000002;113.27307692307691
1973;118.23793103448273;223.55;-37.80333333333333;1.364285714285728;-76.616;-62.71379310344827;-100.36896551724138;107.0758620689655;-119.356;-61.5423076923077;-6.761538461538464;379.9703703703704;-13.955172413793093;NA;106.38214285714287;281.6;39.00333333333336;28.370000000000005;-16.285714285714292;5.2879999999999825;-51.99666666666667;-8.419333333333341;-144.37333333333333;-113.92666666666668;-38.695666666666654;37.480999999999995;-78.43103448275863;177.1655172413793;NA;-47.13966666666667;116.70666666666665;-71.78666666666666;-139.15;42.870000000000005;-114.88333333333334;-52.93000000000001;-36.97333333333333;-112.7392857142857;-18.86206896551724;-109.24230769230769;-114.81379310344828;360.2416666666667;91.7241379310345;202.6642857142857;-185.15714285714284;122.91999999999999;NA
1974;34.13793103448276;235.75;169.59666666666666;NA;17.784000000000006;138.48620689655172;-124.96896551724139;-118.02413793103449;108.244;-29.142307692307696;-259.5615384615385;104.4703703703704;-185.9551724137931;-44.89259259259262;-38.11785714285713;-53.10000000000001;86.40333333333334;-16.129999999999995;5.714285714285708;-34.512;-98.19666666666669;54.380666666666656;122.62666666666667;45.57333333333332;23.304333333333346;67.881;-34.03103448275863;23.065517241379297;-35.76538461538462;-35.739666666666665;223.70666666666665;22.51333333333335;187.65;93.87;30.61666666666666;-69.93;17.126666666666665;116.7607142857143;-27.462068965517233;-15.74230769230769;-8.013793103448265;-57.55833333333334;-116.1758620689655;13.464285714285722;-190.35714285714286;67.11999999999998;-39.32692307692308
1975;-150.06206896551726;-127.65;-25.00333333333333;329.96428571428567;-54.016000000000005;-110.51379310344826;-98.36896551724138;31.775862068965523;31.944000000000017;-16.842307692307713;-271.8615384615385;-25.62962962962962;-23.955172413793093;NA;-75.11785714285713;-89.60000000000001;-204.59666666666666;-60.629999999999995;-56.985714285714295;-52.11200000000001;60.80333333333331;-17.02933333333334;-71.37333333333333;-75.42666666666668;-160.50566666666666;-13.119;-34.53103448275863;-27.734482758620686;-109.56538461538463;-67.93966666666667;-70.29333333333335;-106.58666666666666;-50.650000000000006;-153.13;6.61666666666666;-53.93000000000001;6.026666666666671;-17.2392857142857;-54.06206896551724;-109.24230769230769;-18.41379310344827;-11.958333333333343;229.4241379310345;-39.13571428571427;-71.75714285714287;-47.880000000000024;-3.526923076923069
1976;79.43793103448277;NA;19.796666666666653;296.1642857142857;-12.616;161.6862068965517;280.63103448275865;151.57586206896553;106.244;132.5576923076923;80.53846153846149;636.4703703703703;262.0448275862069;705.7074074074073;150.88214285714287;264.09999999999997;216.40333333333334;22.370000000000005;98.31428571428572;148.28799999999998;-58.59666666666668;104.68066666666667;137.62666666666667;115.57333333333332;-154.09566666666666;-85.519;-36.03103448275863;8.865517241379308;342.8346153846154;-9.239666666666665;121.70666666666665;2.2133333333333383;89.45000000000002;-94.13;28.11666666666666;-34.43000000000001;179.6266666666667;75.6607142857143;181.93793103448274;224.7576923076923;370.9862068965517;149.84166666666667;505.2241379310344;124.66428571428571;108.84285714285716;397.52;27.97307692307693
1977;22.53793103448274;-159.25;-59.40333333333332;-97.63571428571427;-116.616;-64.01379310344828;-100.76896551724138;-118.02413793103449;-79.95599999999999;15.557692307692292;-146.7615384615385;-33.72962962962961;-193.9551724137931;-223.49259259259262;-150.11785714285713;-94.80000000000001;-64.29666666666665;84.37;-12.685714285714283;-25.712000000000003;-21.396666666666675;-4.51933333333335;99.62666666666667;-95.02666666666667;-93.09566666666666;1.8810000000000002;-30.031034482758628;-15.734482758620686;70.33461538461538;21.760333333333335;6.706666666666649;12.813333333333333;-108.75;-224.13;23.11666666666666;-53.93000000000001;-5.873333333333335;-31.2392857142857;-119.66206896551725;-109.24230769230769;-114.81379310344828;-83.55833333333334;-151.9758620689655;-19.535714285714278;-244.95714285714286;-126.68;-68.52692307692308
1978;-153.86206896551727;-38.650000000000006;-87.40333333333332;-135.63571428571427;-72.21600000000001;13.086206896551744;8.43103448275862;-50.12413793103448;77.844;28.057692307692292;-62.6615384615385;46.37037037037038;-135.4551724137931;-29.39259259259262;-115.11785714285713;-40.10000000000001;-46.49666666666667;121.37;21.41428571428571;-63.11200000000001;44.20333333333332;123.98066666666665;160.62666666666667;97.97333333333333;80.69433333333336;10.281000000000006;95.96896551724137;148.4655172413793;79.83461538461538;-34.039666666666676;-177.29333333333335;59.81333333333333;129.24999999999997;-158.13;150.41666666666669;-21.730000000000004;215.02666666666667;-69.2392857142857;88.13793103448276;42.75769230769231;13.186206896551724;-11.15833333333336;106.82413793103447;26.864285714285728;NA;80.51999999999998;-51.526923076923076
1979;130.53793103448274;6.75;24.79666666666668;29.564285714285745;70.18400000000001;-198.71379310344827;33.2310344827586;75.37586206896552;-30.756;-20.142307692307696;441.83846153846156;-53.72962962962961;-167.5551724137931;-285.8925925925926;-18.617857142857133;-4.900000000000006;-158.59666666666666;14.370000000000005;-107.58571428571429;-26.312000000000012;-83.19666666666667;-101.31933333333335;-102.37333333333333;21.173333333333318;-124.29566666666666;-24.31899999999999;-51.03103448275863;46.0655172413793;226.83461538461538;-67.64966666666668;13.70666666666665;-71.18666666666665;51.349999999999994;28.870000000000005;-16.983333333333334;-24.230000000000004;3.7266666666666595;29.160714285714306;-6.862068965517238;NA;-114.81379310344828;-146.95833333333334;52.02413793103449;-106.33571428571427;123.04285714285714;-120.48000000000002;129.97307692307692
1980;118.33793103448275;-20.049999999999983;-37.40333333333332;-1.635714285714272;-37.816;-65.91379310344826;-124.96896551724139;-78.82413793103449;-91.756;376.45769230769224;645.5384615384617;11.370370370370381;-109.8551724137931;20.10740740740738;38.582142857142856;47;193.60333333333332;136.37;91.71428571428572;95.988;124.0033333333333;22.880666666666656;21.626666666666665;266.9733333333333;-124.29566666666666;36.881;117.96896551724137;56.4655172413793;-16.965384615384636;164.36033333333333;50.70666666666665;-33.68666666666665;-3.1500000000000057;100.87;-34.88333333333334;18.069999999999993;-87.97333333333333;90.7607142857143;-11.862068965517238;-38.74230769230769;NA;-56.35833333333332;57.82413793103447;-43.335714285714275;-93.15714285714284;-127.28000000000002;0.47307692307693117
