yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1971;35;31;11;21;10;30;10;13;15;47;58;27;22;24;42;25;31;35;14;16;36;29;32;35;16;18;43;24;NA;18;47;44;30;34;25;21;31;41;25;41;21;23;20;17;23;23;NA
1972;34;41;28;NA;NA;26;9;19;17;39;52;47;26;NA;34;25;40;29;21;22;25;21;34;25;26;28;32;35;NA;23;63;40;36;41;20;21;31;27;25;34;20;27;21;21;30;15;14
1973;31;33;16;20;13;23;14;16;13;41;50;47;20;NA;32;24;24;35;22;22;23;20;28;22;18;15;29;22;NA;17;46;31;25;30;23;19;19;23;26;32;10;47;23;23;25;26;NA
1974;40;36;21;NA;12;19;15;8;18;41;21;37;17;18;22;27;28;37;16;22;27;30;28;37;17;20;36;30;18;22;35;37;35;24;25;13;24;26;19;24;16;36;14;18;13;22;12
1975;24;16;18;22;10;20;13;10;10;30;25;31;21;NA;29;21;24;36;21;19;37;26;25;34;18;13;31;16;16;20;37;40;27;14;27;17;29;25;18;13;11;33;26;19;18;22;12
1976;35;NA;19;35;21;24;24;21;22;40;60;48;26;33;42;31;27;46;34;29;42;31;44;37;15;22;40;25;28;27;47;69;50;15;34;26;27;17;30;28;27;44;39;36;37;35;11
1977;19;5;9;6;2;27;6;5;12;33;32;19;11;9;27;14;13;31;24;18;32;19;39;25;13;16;28;21;15;18;33;38;26;16;23;20;19;24;8;11;8;33;13;11;12;11;2
1978;31;11;22;19;9;31;20;14;22;46;67;31;23;36;31;23;25;50;20;19;33;35;32;39;22;24;44;26;17;25;33;46;32;26;30;22;27;14;28;27;21;39;34;23;NA;25;4
1979;40;16;26;18;20;28;21;11;18;49;63;32;28;23;30;23;31;46;15;25;37;24;39;35;15;15;41;28;24;23;50;50;37;22;36;14;26;25;20;NA;17;34;30;15;22;13;11
1980;42;14;22;21;12;25;12;7;15;52;70;40;25;27;32;25;27;37;26;26;37;29;30;25;19;19;34;23;28;24;37;43;31;28;28;21;27;31;20;16;NA;36;23;17;16;15;11
