yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1971;336.2;372.40000000000003;190;40.4;116.6;145;24.2;0;62.6;432.6;386.1;101.69999999999999;208.1;190.1;163;217.5;434;217;0;67.4;116.8;206.79;181;172;310.9;145.4;285.5;283.8;NA;0;310;180.9;226.3;557;150.4;66;422.6;0;49.6;118.5;27;144;0;71.6;120.4;153.6;NA
1972;357.8;833.6;197.2;NA;NA;78.8;134.2;151.6;144;85.7;380.8;420.2;254.3;NA;413;213.2;841;240;96.5;310.8;226.8;274.3;304;225.2;534.39;466.58;206.3;421.4;NA;233.9;915;210.5;527;831.5;181.7;58;378.1;268.5;0;185.2;230.4;275;91.4;163.2;98.6;103.6;206.2
1973;309.9;382.8;110.8;137;40;136;24.6;225.1;0;104.4;395.1;577.1;220;NA;256.5;435.40000000000003;283.6;194;91.3;120.19999999999999;129.4;120.2;0;36;165.4;146.6;62.1;344.7;NA;74.5;386;71.6;33;319;0;51;117.5;27.5;132.4;0;0;601.2;290.3;338.2;59.8;280;NA
1974;225.8;395;318.2;NA;134.4;337.2;0;0;227.6;136.8;142.3;301.6;48;241;112;100.7;331;149.5;113.3;80.4;83.19999999999999;183;267;195.5;227.4;177;106.5;190.6;117.4;85.9;493;165.9;359.8;370;145.5;34;171.6;257;123.80000000000001;93.5;106.80000000000001;183.4;82.4;149;54.6;224.2;53.599999999999994
1975;41.6;31.6;123.6;465.59999999999997;62.599999999999994;88.2;26.6;149.8;151.3;149.1;130;171.5;210;NA;75;64.2;40;105;50.599999999999994;62.8;242.2;111.59;73;74.5;43.59;96;106;139.8;43.6;53.7;199;36.8;121.5;123;121.5;50;160.5;123;97.2;0;96.4;229;428;96.4;173.2;109.19999999999999;89.4
1976;271.1;NA;168.39999999999998;431.8;104;360.4;405.6;269.6;225.6;298.5;482.4;833.6;496;991.6;301;417.9;461;188;205.9;263.2;122.8;233.3;282;265.5;50;23.6;104.5;176.4;496;112.4;391;145.6;261.6;182;143;69.5;334.1;215.9;333.2;334;485.8;390.8;703.8;260.2;353.8;554.6;120.9
1977;214.2;0;89.2;38;0;134.7;24.2;0;39.4;181.5;255.1;163.4;40;62.4;0;59;180.3;250;94.9;89.2;160;124.1;244;54.9;111;111;110.5;151.8;223.5;143.4;276;156.2;63.4;52;138;50;148.6;109;31.6;0;0;157.4;46.6;116;0;30.4;24.4
1978;37.8;120.6;61.2;0;44.4;211.8;133.4;67.9;197.2;194;339.2;243.5;98.5;256.5;35;113.7;198.1;287;129;51.8;225.6;252.6;305;247.9;284.79;119.4;236.5;316;233;87.6;92;203.2;301.4;118;265.3;82.2;369.5;71;239.4;152;128;229.79999999999998;305.4;162.4;NA;237.6;41.4
1979;322.2;166;173.4;165.20000000000002;186.8;0;158.2;193.4;88.6;145.8;843.7;143.4;66.4;0;131.5;148.9;86;180;0;88.6;98.2;27.3;42;171.1;79.8;84.80000000000001;89.5;213.6;380;53.989999999999995;283;72.2;223.5;305;97.9;79.7;158.2;169.4;144.4;NA;0;94;250.6;29.2;368;36.6;222.9
1980;310;139.20000000000002;111.2;134;78.8;132.8;0;39.2;27.6;542.4;1047.4;208.5;124.1;306;188.7;200.8;438.2;302;199.3;210.9;305.4;151.5;166;416.9;79.8;146;258.5;224;136.2;286;320;109.7;169;377;80;122;66.5;231;139.4;70.5;NA;184.60000000000002;256.4;92.2;151.8;29.8;93.4
1981;103.2;71.2;0;96.6;NA;49.4;0;0;26.2;150.5;1016.3;53.2;NA;0;69;77;58;208;172;97.9;340.4;64.1;92;157.4;0;31.39;140.5;151.6;0;68.6;219;72.6;133.3;0;110;97.4;90.4;230;159.6;144;104.6;168.6;86.4;176.6;54.4;181.2;177.4
1982;156.2;256.2;169.1;38.8;199.8;117.2;130;107.2;59;137;255.79999999999998;211.5;509.2;293;73.2;0;227.2;114;125.2;62.6;205.1;92.5;30;193.4;279;56.6;NA;0;82;61.8;602;109;193.6;318;42.8;107.2;119;79;164.8;227.5;188;223.2;364.40000000000003;208.4;224.2;166.2;48
1983;145.4;418;183.4;48.4;185.2;119.5;161.8;98.6;57.7;0;472.8;45.4;188;299.8;181.3;162.1;205;146;148.1;145;172.4;33;157;181.7;34;98.8;33.4;NA;344;35.7;197;151.1;278.3;269;90;90;93;66;292.4;186;32;NA;100;69.2;273.2;274.8;0
1984;91.8;154.8;86.4;165.8;23.8;143.2;193.8;64.6;120.30000000000001;101.6;621.1;327.2;186.3;202.7;224;125.3;365.5;183;136.7;171.5;291.8;114.3;142;83.6;214;202.2;68;167.4;NA;150.7;197;174.3;266;226;96.5;162.7;192;212;77.4;198.7;66.2;182.6;130.2;119.4;328;30.2;73
1985;205.6;165.39999999999998;67.4;93;149.6;415.5;148.8;226.8;217;102.2;390.1;63;71.2;209.3;131.2;111.2;203.4;152;33;0;0;118.4;150;78;498.6;137.8;172.4;194.6;44;113;197;154.4;231.6;153;194;58;287;0;161.6;133;201.4;115;191;157;319;72.8;119.6
1986;80.2;109.6;117;0;28.4;154.8;314;83.9;22.6;136.6;120;141;211.1;140.6;331.4;68.1;0;330;25.2;143.9;286.6;57.4;154;202.6;503.6;77.2;115;36.8;120;106.5;231;138;94.8;721;166;31;172;123;32;0;45.2;518;238.4;160.8;372.6;113;192.8
1987;291.2;59.4;283.7;80;115.4;385.1;28.4;55.6;46.2;NA;NA;180.2;198.4;185.10000000000002;NA;103.6;87.2;0;179.6;26;209.6;78.2;35;143.6;0;23;111.4;31.8;0;173.4;40.6;222.8;121;0;194.4;89.8;47;28;154;48;35.8;492.8;0;82;109;289.4;118.6
